"id","name","rating"
489674,"Karn Liberated",4.5
489675,"Alabaster Mage",1
489676,"Ancestral Blade",2
489677,"Angel of the Dawn",2
489678,"Archangel of Thune",4
489679,"Auriok Salvagers",2.5
489680,"Austere Command",4.5
489681,"Avacyn, Angel of Hope",3.5
489682,"Blade Splicer",3.5
489683,"Boon Reflection",0
489684,"Council's Judgment",3.5
489685,"Crib Swap",3
489686,"Crusader of Odric",1
489687,"Ethersworn Canonist",3
489688,"Fencing Ace",2.5
489689,"Flickerwisp",3
489690,"Fortify",0.5
489691,"Glint-Sleeve Artisan",2.5
489692,"Kemba, Kha Regent",3.5
489693,"Land Tax",2
489694,"Leonin Abunas",2.5
489695,"Master Splicer",3.5
489696,"Myrsmith",3
489697,"Open the Vaults",1
489698,"Path to Exile",4
489699,"Puresteel Paladin",3.5
489700,"Remember the Fallen",2
489701,"Revoke Existence",1.5
489702,"Sanctum Gargoyle",3
489703,"Sanctum Spirit",1.5
489704,"Stoneforge Mystic",4
489705,"Stonehewer Giant",3.5
489706,"Strength of Arms",1.5
489707,"Tempered Steel",3.5
489708,"Thraben Inspector",3
489709,"Topple the Statue",3
489710,"Valor in Akros",1.5
489711,"Valorous Stance",3
489712,"Wrath of God",4.5
489713,"Apprentice Wizard",1.5
489714,"Arcum Dagsson",2.5
489715,"Argivian Restoration",1
489716,"Braids, Conjurer Adept",1
489717,"Brainstorm",1.5
489718,"Cloudreader Sphinx",2.5
489719,"Corridor Monitor",1.5
489720,"Cyclonic Rift",4
489721,"Deepglow Skate",3
489722,"Esperzoa",2
489723,"Faerie Mechanist",2
489724,"Force of Will",3
489725,"Frogify",1.5
489726,"Grand Architect",3.5
489727,"Hinder",1.5
489728,"Inkwell Leviathan",2.5
489729,"Jace, the Mind Sculptor",4.5
489730,"Master of Etherium",3.5
489731,"Master Transmuter",3
489732,"Metallic Rebuke",1
489733,"Parasitic Strix",1
489734,"Phyrexian Metamorph",3.5
489735,"Pongify",2.5
489736,"Relic Runner",2
489737,"Reshape",2.5
489738,"Riddlesmith",1.5
489739,"Rush of Knowledge",1.5
489740,"Sentinel of the Pearl Trident",0.5
489741,"Serra Sphinx",3
489742,"Sift",2.5
489743,"Steel Sabotage",1.5
489744,"Thirst for Knowledge",3
489745,"Thought Reflection",0
489746,"Treasure Mage",2
489747,"Vedalken Infuser",1.5
489748,"Well of Ideas",1
489749,"Ad Nauseam",1
