"id","name","rating"
423668,"Aerial Modification",1.5
423669,"Aeronaut Admiral",3
423670,"Aether Inspector",1
423671,"Aethergeode Miner",3.5
423672,"Airdrop Aeronauts",3
423673,"Alley Evasion",1
423674,"Audacious Infiltrator",2.5
423675,"Bastion Enforcer",1
423676,"Call for Unity",2.5
423677,"Caught in the Brights",3.5
423678,"Consulate Crackdown",2
423679,"Conviction",1
423680,"Countless Gears Renegade",2.5
423681,"Dawnfeather Eagle",3
423682,"Deadeye Harpooner",2.5
423683,"Decommission",1.5
423684,"Deft Dismissal",1.5
423685,"Exquisite Archangel",3.5
423686,"Felidar Guardian",3
423687,"Ghirapur Osprey",1.5
423688,"Restoration Specialist",2.5
423689,"Solemn Recruit",4
423690,"Sram, Senior Edificer",3.5
423691,"Sram's Expertise",3.5
423692,"Thopter Arrest",3.5
423693,"Aether Swooper",3
423694,"Aethertide Whale",4
423695,"Baral, Chief of Compliance",3
423696,"Baral's Expertise",3.5
423697,"Bastion Inventor",3
423698,"Disallow",2.5
423699,"Dispersal Technician",1
423700,"Efficient Construction",1.5
423701,"Hinterland Drake",2.5
423702,"Ice Over",2
423703,"Illusionist's Stratagem",2
423704,"Leave in the Dust",2.5
423705,"Mechanized Production",3
423706,"Metallic Rebuke",1
423707,"Negate",1.5
423708,"Quicksmith Spy",3.5
423709,"Reverse Engineer",2.5
423710,"Salvage Scuttler",0
423711,"Shielded Aether Thief",3
423712,"Shipwreck Moray",1
423713,"Skyship Plunderer",3
423714,"Take into Custody",0.5
423715,"Trophy Mage",3
423716,"Whir of Invention",1.5
423717,"Wind-Kin Raiders",3
423718,"Aether Poisoner",3.5
423719,"Alley Strangler",1.5
423720,"Battle at the Bridge",3.5
423721,"Cruel Finality",2.5
423722,"Daring Demolition",3.5
423723,"Defiant Salvager",1.5
423724,"Fatal Push",4
423725,"Fen Hauler",2
423726,"Foundry Hornet",3
423727,"Fourth Bridge Prowler",1.5
423728,"Gifted Aetherborn",4
423729,"Glint-Sleeve Siphoner",3.5
423730,"Gonti's Machinations",0
423731,"Herald of Anguish",4.5
423732,"Ironclad Revolutionary",1
423733,"Midnight Entourage",3.5
423734,"Night Market Aeronaut",1.5
423735,"Perilous Predicament",2.5
423736,"Renegade's Getaway",0.5
423737,"Resourceful Return",1
423738,"Secret Salvage",0
423739,"Sly Requisitioner",2
423740,"Vengeful Rebel",3.5
423741,"Yahenni, Undying Partisan",4
423742,"Yahenni's Expertise",4
423743,"Aether Chaser",3.5
423744,"Chandra's Revolution",3
423745,"Destructive Tampering",1.5
423746,"Embraal Gear-Smasher",1
423747,"Enraged Giant",3
423748,"Freejam Regent",3.5
423749,"Frontline Rebel",1
423750,"Gremlin Infestation",1
423751,"Hungry Flames",3.5
423752,"Indomitable Creativity",0.5
423753,"Invigorated Rampage",2
423754,"Kari Zev, Skyship Raider",3.5
423755,"Kari Zev's Expertise",2
423756,"Lathnu Sailback",0.5
423757,"Lightning Runner",3
423758,"Pia's Revolution",1.5
423759,"Precise Strike",1
423760,"Quicksmith Rebel",3.5
423761,"Ravenous Intruder",1.5
423762,"Reckless Racer",3
423763,"Release the Gremlins",3
423764,"Scrapper Champion",3.5
423765,"Shock",3
423766,"Siege Modification",1.5
423767,"Sweatworks Brawler",3
423768,"Wrangle",1
423769,"Aether Herder",2
423770,"Aetherstream Leopard",2.5
423771,"Aetherwind Basker",3.5
423772,"Aid from the Cowl",1.5
423773,"Druid of the Cowl",2.5
423774,"Greenbelt Rampager",3.5
423775,"Greenwheel Liberator",3
423776,"Heroic Intervention",2
423777,"Hidden Herbalists",1
423778,"Highspire Infusion",1.5
423779,"Lifecraft Awakening",2
423780,"Lifecraft Cavalry",3
423781,"Lifecrafter's Gift",2
423782,"Maulfist Revolutionary",3
423783,"Monstrous Onslaught",3.5
423784,"Narnam Renegade",3
423785,"Natural Obsolescence",2
423786,"Peema Aether-Seer",2
423787,"Prey Upon",3
423788,"Ridgescale Tusker",4.5
423789,"Rishkar, Peema Renegade",4
423790,"Rishkar's Expertise",3.5
423791,"Scrounging Bandar",3
423792,"Silkweaver Elite",1.5
423793,"Unbridled Growth",2.5
423794,"Ajani Unyielding",4.5
423795,"Dark Intimations",1.5
423796,"Hidden Stockpile",3
423797,"Maverick Thopterist",3.5
423798,"Oath of Ajani",3
423799,"Outland Boar",3
423800,"Renegade Rallier",3
423801,"Renegade Wheelsmith",3
423802,"Rogue Refiner",3
423803,"Spire Patrol",3
423804,"Tezzeret the Schemer",4
423805,"Tezzeret's Touch",3
423806,"Weldfast Engineer",3
423807,"Winding Constrictor",3.5
423808,"Aegis Automaton",0
423809,"Aethersphere Harvester",4.5
423810,"Augmenting Automaton",1.5
423811,"Barricade Breaker",2
423812,"Cogwork Assembler",1.5
423813,"Consulate Dreadnought",2
423814,"Consulate Turret",0
423815,"Crackdown Construct",0.5
423816,"Daredevil Dragster",3
423817,"Filigree Crawler",1
423818,"Foundry Assembler",1
423819,"Gonti's Aether Heart",1
423820,"Heart of Kiran",4.5
423821,"Hope of Ghirapur",2
