"id","name","rating"
426703,"Angel of Sanctions",4.5
426704,"Anointed Procession",1.5
426705,"Anointer Priest",2
426706,"Approach of the Second Sun",3
426707,"Aven Mindcensor",2
426708,"Binding Mummy",2.5
426709,"Cartouche of Solidarity",3
426710,"Cast Out",4
426711,"Compulsory Rest",3.5
426712,"Devoted Crop-Mate",3
426713,"Djeru's Resolve",1
426714,"Fan Bearer",3
426715,"Forsake the Worldly",1
426716,"Gideon of the Trials",4.5
426717,"Gideon's Intervention",1.5
426718,"Glory-Bound Initiate",3.5
426719,"Gust Walker",3.5
426720,"Impeccable Timing",3
426721,"In Oketra's Name",1
426722,"Mighty Leap",1.5
426723,"Oketra the True",4.5
426724,"Oketra's Attendant",3
426725,"Protection of the Hekma",0.5
426726,"Regal Caracal",4
426727,"Renewed Faith",0.5
426728,"Rhet-Crop Spearmaster",3
426729,"Sacred Cat",2
426730,"Seraph of the Suns",2
426731,"Sparring Mummy",1
426732,"Supply Caravan",1.5
426733,"Tah-Crop Elite",3
426734,"Those Who Serve",1
426735,"Time to Reflect",1
426736,"Trial of Solidarity",3
426737,"Trueheart Duelist",3
426738,"Unwavering Initiate",3
426739,"Vizier of Deferment",3
426740,"Vizier of Remedies",1.5
426741,"Winged Shepherd",2.5
426742,"Ancient Crab",0.5
426743,"Angler Drake",3.5
426744,"As Foretold",1.5
426745,"Aven Initiate",3
426746,"Cancel",2
426747,"Cartouche of Knowledge",3
426748,"Censor",2.5
426749,"Compelling Argument",0.5
426750,"Cryptic Serpent",2.5
426751,"Curator of Mysteries",4
426752,"Decision Paralysis",1
426753,"Drake Haven",3.5
426754,"Essence Scatter",2.5
426755,"Floodwaters",1.5
426756,"Galestrike",2.5
426757,"Glyph Keeper",4
426758,"Hekma Sentinels",1.5
426759,"Hieroglyphic Illumination",2
426760,"Illusory Wrappings",2.5
426761,"Kefnet the Mindful",3.5
426762,"Labyrinth Guardian",3
426763,"Lay Claim",3
426764,"Naga Oracle",2
426765,"New Perspectives",1.5
426766,"Open into Wonder",2.5
426767,"Pull from Tomorrow",3
426768,"River Serpent",1
426769,"Sacred Excavation",1
426770,"Scribe of the Mindful",1
426771,"Seeker of Insight",1.5
426772,"Shimmerscale Drake",3
426773,"Slither Blade",1.5
426774,"Tah-Crop Skirmisher",1.5
426775,"Trial of Knowledge",3
426776,"Vizier of Many Faces",4
426777,"Vizier of Tumbling Sands",2.5
426778,"Winds of Rebuke",1.5
426779,"Zenith Seeker",1.5
426780,"Archfiend of Ifnir",4
426781,"Baleful Ammit",3.5
426782,"Blighted Bat",1.5
426783,"Bone Picker",3.5
426784,"Bontu the Glorified",3.5
426785,"Cartouche of Ambition",3.5
426786,"Cruel Reality",3.5
426787,"Cursed Minotaur",3
426788,"Dispossess",0
426789,"Doomed Dissenter",2
426790,"Dread Wanderer",3
426791,"Dune Beetle",1
426792,"Faith of the Devoted",1.5
426793,"Festering Mummy",1.5
426794,"Final Reward",3
426795,"Gravedigger",3
426796,"Grim Strider",2
426797,"Horror of the Broken Lands",3
426798,"Lay Bare the Heart",1
426799,"Liliana, Death's Majesty",4.5
426800,"Liliana's Mastery",3.5
426801,"Lord of the Accursed",3.5
426802,"Miasmic Mummy",1
426803,"Nest of Scarabs",2
426804,"Painful Lesson",1.5
426805,"Pitiless Vizier",1
426806,"Plague Belcher",3.5
426807,"Ruthless Sniper",3
426808,"Scarab Feast",0.5
426809,"Shadow of the Grave",1
426810,"Soulstinger",3
426811,"Splendid Agony",3
426812,"Stir the Sands",3
426813,"Supernatural Stamina",2
426814,"Trespasser's Curse",1
426815,"Trial of Ambition",3.5
426816,"Unburden",1
426817,"Wander in Death",2
426818,"Wasteland Scorpion",2.5
426819,"Ahn-Crop Crasher",3.5
426820,"Battlefield Scavenger",3
426821,"Blazing Volley",1
426822,"Bloodlust Inciter",1.5
426823,"Bloodrage Brawler",3
426824,"Brute Strength",1
426825,"By Force",0
426826,"Cartouche of Zeal",2.5
426827,"Combat Celebrant",3.5
426828,"Consuming Fervor",1.5
426829,"Deem Worthy",3.5
426830,"Desert Cerodon",1.5
426831,"Electrify",3.5
426832,"Emberhorn Minotaur",3
426833,"Flameblade Adept",2.5
426834,"Fling",1.5
426835,"Glorious End",0.5
426836,"Glorybringer",4.5
426837,"Harsh Mentor",3
426838,"Hazoret the Fervent",4
426839,"Hazoret's Favor",0.5
426840,"Heart-Piercer Manticore",3.5
426841,"Hyena Pack",1
426842,"Limits of Solidarity",1.5
426843,"Magma Spray",3.5
426844,"Manticore of the Gauntlet",2
426845,"Minotaur Sureshot",2
426846,"Nef-Crop Entangler",2.5
426847,"Nimble-Blade Khenra",1.5
426848,"Pathmaker Initiate",1.5
426849,"Pursue Glory",1
426850,"Soul-Scar Mage",3
426851,"Sweltering Suns",3.5
426852,"Thresher Lizard",2
426853,"Tormenting Voice",1
426854,"Trial of Zeal",3.5
426855,"Trueheart Twins",2.5
426856,"Violent Impact",0
426857,"Warfire Javelineer",2
426858,"Benefaction of Rhonas",1.5
426859,"Bitterblade Warrior",3
426860,"Cartouche of Strength",4
426861,"Champion of Rhonas",4
426862,"Channeler Initiate",3.5
426863,"Colossapede",2
426864,"Crocodile of the Crossing",3.5
426865,"Defiant Greatmaw",3
426866,"Dissenter's Deliverance",1
426867,"Exemplar of Strength",3
426868,"Giant Spider",1.5
426869,"Gift of Paradise",2
426870,"Greater Sandwurm",3.5
426871,"Hapatra's Mark",1.5
426872,"Harvest Season",2
426873,"Haze of Pollen",0.5
426874,"Honored Hydra",4
426875,"Hooded Brawler",3
426876,"Initiate's Companion",2
426877,"Manglehorn",2
426878,"Naga Vitalist",3
426879,"Oashra Cultivator",1.5
426880,"Ornery Kudu",3
426881,"Pouncing Cheetah",2.5
426882,"Prowling Serpopard",3.5
426883,"Quarry Hauler",2.5
426884,"Rhonas the Indomitable",5
426885,"Sandwurm Convergence",3.5
426886,"Scaled Behemoth",4
426887,"Shed Weakness",2.5
426888,"Shefet Monitor",3
426889,"Sixth Sense",1.5
426890,"Spidery Grasp",1.5
426891,"Stinging Shot",1.5
426892,"Synchronized Strike",3
426893,"Trial of Strength",3.5
426894,"Vizier of the Menagerie",4.5
426895,"Watchful Naga",3
426896,"Ahn-Crop Champion",3
426897,"Aven Wind Guide",3.5
426898,"Bounty of the Luxa",3
426899,"Decimator Beetle",4
426900,"Enigma Drake",3
426901,"Hapatra, Vizier of Poisons",3.5
426902,"Honored Crop-Captain",3
426903,"Khenra Charioteer",3
426904,"Merciless Javelineer",2.5
426905,"Neheb, the Worthy",3.5
426906,"Nissa, Steward of Elements",4.5
426907,"Samut, Voice of Dissent",4
426908,"Shadowstorm Vizier",2
426909,"Temmet, Vizier of Naktamun",3.5
426910,"Wayward Servant",3.5
426911,"Weaver of Currents",3
426912,"Dusk // Dawn",3.5
426913,"Commit // Memory",3
426914,"Never // Return",3
426915,"Insult // Injury",3.5
426916,"Mouth // Feed",3.5
426917,"Start // Finish",3
426918,"Reduce // Rubble",1
426919,"Destined // Lead",2.5
426920,"Onward // Victory",2
426921,"Spring // Mind",2
426922,"Prepare // Fight",3.5
426923,"Failure // Comply",1
426924,"Rags // Riches",2.5
426925,"Cut // Ribbons",4
426926,"Heaven // Earth",3
426927,"Bontu's Monument",2
426928,"Edifice of Authority",3
426929,"Embalmer's Tools",0.5
426930,"Gate to the Afterlife",0
426931,"Hazoret's Monument",1
426932,"Honed Khopesh",1
426933,"Kefnet's Monument",1.5
426934,"Luxa River Shrine",0
426935,"Oketra's Monument",3.5
426936,"Oracle's Vault",2.5
426937,"Pyramid of the Pantheon",2.5
426938,"Rhonas's Monument",3
426939,"Throne of the God-Pharaoh",2.5
426940,"Watchers of the Dead",1
426941,"Canyon Slough",1
426942,"Cascading Cataracts",1
426943,"Cradle of the Accursed",1
426944,"Evolving Wilds",2
426945,"Fetid Pools",1.5
426946,"Grasping Dunes",0.5
426947,"Irrigated Farmland",2
426948,"Painted Bluffs",1
426949,"Scattered Groves",1.5
426950,"Sheltered Thicket",2
426951,"Sunscorched Desert",0
426957,"Plains",0
426960,"Island",0
426963,"Swamp",0
426966,"Mountain",0
426969,"Forest",0
