"id","name","rating"
73773,"Angel of Sanctions",4.5
73774,"Anointed Procession",2
73775,"Anointer Priest",1.5
73776,"Approach of the Second Sun",3
73777,"Aven Mindcensor",2
73778,"Aven of Enduring Hope",2
73779,"Binding Mummy",3
73780,"Cartouche of Solidarity",3
73781,"Cast Out",3.5
73782,"Compulsory Rest",3.5
73783,"Crested Sunmare",4
73784,"Dauntless Aven",2.5
73785,"Desert's Hold",3
73786,"Disposal Mummy",1
73787,"Djeru's Resolve",1
73788,"Dusk // Dawn",3.5
73791,"Fan Bearer",3
73792,"Forsake the Worldly",1
73793,"Gideon of the Trials",4.5
73794,"Gideon's Intervention",1
73795,"Glory-Bound Initiate",4
73796,"Gust Walker",3.5
73797,"Hour of Revelation",3
73798,"Impeccable Timing",2.5
73799,"In Oketra's Name",1.5
73800,"Mighty Leap",0.5
73801,"Oketra the True",4.5
73802,"Oketra's Attendant",3
73803,"Oketra's Avenger",2.5
73804,"Overwhelming Splendor",3
73805,"Protection of the Hekma",1.5
73806,"Renewed Faith",0.5
73807,"Rest in Peace",1
73808,"Sacred Cat",2
73809,"Solemnity",0.5
73810,"Solitary Camel",1.5
73811,"Steward of Solidarity",3
73812,"Sunscourge Champion",3
73813,"Supply Caravan",0.5
73814,"Tah-Crop Elite",2.5
73815,"Those Who Serve",0
73816,"Trial of Solidarity",3
73817,"Unconventional Tactics",3
73818,"Vizier of Deferment",2.5
73819,"Vizier of Remedies",1.5
73820,"Wrath of God",4
73821,"Aerial Guide",2.5
73822,"Ancient Crab",0
73823,"As Foretold",1.5
73824,"Aven Initiate",2.5
73825,"Cartouche of Knowledge",3
73826,"Censor",2
73827,"Champion of Wits",4
73828,"Commit // Memory",3
73831,"Compelling Argument",0
73832,"Countervailing Winds",1.5
73833,"Cryptic Serpent",2
73834,"Curator of Mysteries",3.5
73835,"Drake Haven",3.5
73836,"Essence Scatter",2.5
73837,"Eternal of Harsh Truths",2.5
73838,"Floodwaters",1
73839,"Hekma Sentinels",1
73840,"Hieroglyphic Illumination",3
73841,"Jace, Unraveler of Secrets",4
73842,"Kefnet the Mindful",3.5
73843,"Labyrinth Guardian",2
73844,"Lay Claim",3
73845,"Naga Oracle",1.5
73846,"New Perspectives",1.5
73847,"Nimble Obstructionist",3.5
73848,"Ominous Sphinx",3
73849,"Pact of Negation",1.5
73850,"Pull from Tomorrow",3
73851,"Riddleform",3
73852,"Seeker of Insight",1
73853,"Seer of the Last Tomorrow",1
73854,"Shimmerscale Drake",2
73855,"Slither Blade",1.5
73856,"Spellweaver Eternal",3
73857,"Strategic Planning",1.5
73858,"Striped Riverwinder",1.5
73859,"Supreme Will",3
73860,"Trial of Knowledge",3
73861,"Unesh, Criosphinx Sovereign",4
73862,"Unquenchable Thirst",3
73863,"Vizier of Many Faces",3.5
73864,"Vizier of the Anointed",3
73865,"Vizier of Tumbling Sands",2
73866,"Winds of Rebuke",1
73867,"Archfiend of Ifnir",4
73868,"Baleful Ammit",3
73869,"Blighted Bat",1.5
73870,"Bone Picker",3.5
73871,"Bontu the Glorified",4
73872,"Bontu's Last Reckoning",3.5
73873,"Cartouche of Ambition",3
73874,"Cruel Reality",3.5
73875,"Demonic Pact",2
73876,"Dispossess",0
73877,"Doomed Dissenter",2
73878,"Doomfall",3
73879,"Dread Wanderer",3
73880,"Dune Beetle",1
73881,"Festering Mummy",1
73882,"Final Reward",3.5
73883,"Gravedigger",3
73884,"Horror of the Broken Lands",2.5
73885,"Khenra Eternal",1.5
73886,"Lethal Sting",3
73887,"Liliana, Death's Majesty",4.5
73888,"Liliana's Defeat",0.5
73889,"Liliana's Mastery",4
73890,"Lord of the Accursed",3.5
73891,"Marauding Boneslasher",1
73892,"Miasmic Mummy",1.5
73893,"Nest of Scarabs",1
73894,"Never // Return",4.5
73897,"Pitiless Vizier",1
73898,"Razaketh, the Foulblooded",3
73899,"Ruthless Sniper",2.5
73900,"Scarab Feast",0.5
73901,"Shadow of the Grave",1
73902,"Soulstinger",3
73903,"Splendid Agony",3
73904,"Supernatural Stamina",1
73905,"Thoughtseize",3.5
73906,"Torment of Hailfire",3
73907,"Trespasser's Curse",1
73908,"Trial of Ambition",3.5
73909,"Unburden",1
73910,"Vile Manifestation",2
73911,"Wander in Death",1.5
73912,"Wasp of the Bitter End",2
73913,"Wasteland Scorpion",2
73914,"Abrade",4
73915,"Ahn-Crop Crasher",3.5
73916,"Anger of the Gods",3.5
73917,"Battlefield Scavenger",3
73918,"Bloodlust Inciter",1.5
73919,"Blur of Blades",1
73920,"Brute Strength",1.5
