"id","name","rating"
1448403,"Queen Kayla bin-Kroog",3
1448404,"Surge Engine",3.5
1448405,"Recruitment Officer",4.5
1448406,"Mishra's Foundry",2.5
1448411,"The Mightstone and Weakstone",3.5
1448412,"Urza, Lord Protector",4
1448705,"Mishra, Claimed by Gix",3
1448706,"Phyrexian Dragon Engine",3.5
1451437,"Gix, Yawgmoth Praetor",3.5
1451438,"Mishra, Tamer of Mak Fawa",2.5
1451439,"Phyrexian Fleshgorger",3.5
1451440,"Teferi, Temporal Pilgrim",1.5
1451441,"Urza, Powerstone Prodigy",2.5
1451443,"Ashnod's Harvester",3
1451444,"Titania, Voice of Gaea",3
1451445,"Mishra, Excavation Prodigy",2
1451446,"Argoth, Sanctum of Nature",3
1451448,"Hurkyl, Master Wizard",2
1451450,"Urza, Prince of Kroog",3
1451452,"Scrapwork Cohort",3
1451469,"Splitting the Powerstone",0.5
1451474,"Brushland",2
1451475,"Underground River",1.5
1451476,"Llanowar Wastes",2
1451477,"Battlefield Forge",1.5
1451848,"Monastery Swiftspear",1
1451849,"Blast Zone",3
1451862,"Feldon, Ronom Excavator",2
1451888,"Urza's Command",2
1451889,"Gix's Command",2.5
1451890,"Mishra's Command",2.5
1451891,"Kayla's Command",5
1451892,"In the Trenches",4.5
1451920,"Soul Partition",3.5
1451921,"The Stone Brain",2
1451922,"Transmogrant's Crown",3.5
1451923,"Drafna, Founder of Lat-Nam",2.5
1451924,"Tawnos, the Toymaker",0
1451931,"Clay Revenant",1.5
1451932,"Giant Growth",0.5
1451933,"Mishra's Juggernaut",2
1451934,"Overwhelming Remorse",3
1451935,"Stern Lesson",2
1451936,"Tocasia's Onulet",2
1451937,"Yotian Dissident",3.5
1451938,"Go for the Throat",3
1451939,"Argothian Opportunist",2
1451940,"Yotian Medic",3.5
1451941,"Third Path Savant",1.5
1451942,"Bitter Reunion",0.5
1451943,"Gaea's Courser",1.5
1451944,"Tocasia's Welcome",4.5
1451945,"Kayla's Reconstruction",3.5
1451946,"Clay Champion",3.5
1451947,"Ashnod, Flesh Mechanist",2.5
1451948,"Fade from History",1
1451949,"Thran Spider",3.5
1451950,"Harbin, Vanguard Aviator",3.5
1451951,"The Fall of Kroog",0.5
1451952,"Hall of Tagsin",1.5
1451953,"The Temporal Anchor",3
1451954,"Urza's Sylex",4
1451955,"Skitterbeam Battalion",3.5
1451956,"Depth Charge Colossus",1
1451957,"Rust Goliath",2.5
1451958,"Arcane Proxy",2
1451960,"Disfigure",2.5
1451961,"Heavyweight Demolisher",3
1451962,"Portal to Phyrexia",4
1451963,"Terisian Mindbreaker",2.5
1451970,"Combat Thresher",3.5
1451984,"Painful Quandary",0.5
1452060,"Tyrant of Kher Ridges",3
1452062,"Calamity's Wake",1.5
1452063,"Disenchant",4.5
1452064,"Loran of the Third Path",4.5
1452065,"Loran, Disciple of History",4
1452068,"Repair and Recharge",3.5
1452072,"Survivor of Korlis",3.5
1452078,"Fallaji Archaeologist",1
1452082,"Forging the Anchor",0.5
1452083,"Hurkyl's Final Meditation",0
1452085,"Lat-Nam Adept",1.5
1452089,"Mightstone's Animation",2.5
1452092,"Urza's Rebuff",1
1452120,"Ashnod's Intervention",0
1452124,"Diabolic Intent",1
1452128,"Disciples of Gix",1
1452131,"Gix's Caress",0.5
1452138,"No One Left Behind",1
1452141,"Powerstone Fracture",3
1452143,"Thran Vigil",1
1452182,"Fallaji Chaindancer",1
1452183,"Mishra's Domination",0
1452185,"Mishra's Onslaught",0.5
1452186,"Pyrrhic Blast",1.5
1452187,"Raze to the Ground",1
1452190,"Sibling Rivalry",1
1452193,"Visions of Phyrexia",2
1452195,"Mishra's Research Desk",2
1452199,"Epic Confrontation",2.5
1452202,"Fallaji Excavation",1
1452205,"Fog of War",0.5
1452208,"Gaea's Gift",1.5
1452212,"Obstinate Baloth",1.5
1452216,"Tawnos's Tinkering",0
1452220,"Fallaji Vanguard",3
1452223,"Hajar, Loyal Bodyguard",1
1452227,"Saheeli, Filigree Master",3
1452228,"Third Path Iconoclast",1.5
1452229,"Tocasia, Dig Site Mentor",3
1452231,"Tocasia's Dig Site",1.5
1452235,"Goblin Firebomb",1.5
1452236,"Liberator, Urza's Battlethopter",3.5
1452240,"The Stasis Coffin",3
1452244,"Su-Chi Cave Guard",3.5
1452246,"Thran Power Suit",3
1452249,"Plains",0
1452251,"Island",0
1452254,"Swamp",0
1452255,"Demolition Field",1
1452258,"Mountain",0
1452261,"Forest",0
1452264,"Audacity",1.5
1452265,"Brotherhood's End",2.5
1452268,"Fortified Beachhead",2.5
1452269,"One with the Multiverse",1.5
1452288,"Simian Simulacrum",3.5
1452290,"Thopter Architect",3.5
1452295,"Fallaji Dragon Engine",1.5
1452299,"Reconstructed Thopter",2
1452308,"Siege Veteran",4.5
1452310,"Battlefield Butcher",1.5
1452327,"Thopter Mechanic",3
1452357,"Alloy Animist",1.5
1452358,"Union of the Third Path",3.5
1452361,"Gixian Puppeteer",2.5
1452384,"Lay Down Arms",4
1452385,"Yotian Frontliner",3
1452386,"Flow of Knowledge",1.5
1452390,"Corrupt",1.5
1452392,"Obliterating Bolt",3
1452393,"Sardian Cliffstomper",0.5
1452394,"Blanchwood Armor",1
1452395,"Arbalest Engineers",1.5
1452396,"Deathbloom Ritualist",1
1452397,"Junkyard Genius",2
1452402,"Gruesome Realization",1.5
1452421,"Fauna Shaman",2
1452531,"Power Plant Worker",2
1452532,"Argivian Avenger",3
1452533,"Goblin Blast-Runner",1
1452534,"Gnawing Vermin",1
1452535,"Wasteful Harvest",0
1452538,"Autonomous Assembler",3.5
1452542,"Hero of the Dunes",3
1452543,"Evangel of Synthesis",2
1452545,"Take Flight",1.5
1452547,"Mass Production",3
1452628,"Dreams of Steel and Oil",1.5
1452629,"Steel Seraph",4.5
1452632,"Platoon Dispenser",4
1452637,"Static Net",4.5
1452639,"Machine Over Matter",1
1452640,"Zephyr Sentinel",3
1452641,"Razorlash Transmogrant",3
1452642,"Mechanized Warfare",1
1452646,"Draconic Destiny",3
1452655,"Awaken the Woods",1.5
1452661,"Perennial Behemoth",2.5
1452662,"Iron-Craw Crusher",2
1452663,"Levitating Statue",1.5
1452690,"Skystrike Officer",3
1452700,"Myrel, Shield of Argive",4.5
1452701,"Bladecoil Serpent",3.5
1452742,"Ambush Paratrooper",4
1452746,"Great Desert Prospector",4
1452750,"Cityscape Leveler",4
1452768,"Skyfisher Spider",2
1452777,"Powerstone Engineer",4
1452794,"Misery's Shadow",3
1452798,"Argothian Sprite",1
1452799,"Keeper of the Cadence",0.5
1452800,"Gurgling Anointer",2
1452804,"Rootwire Amalgam",3.5
1452812,"Mine Worker",1
1452822,"Gwenna, Eyes of Gaea",2.5
1452824,"Haywire Mite",1.5
1452827,"Mask of the Jadecrafter",1.5
1452831,"Symmetry Matrix",2.5
1452832,"Teething Wurmlet",3
1452833,"Steel Exemplar",3.5
1452834,"Deadly Riposte",4
1452877,"Horned Stoneseeker",2.5
1452914,"Sarinth Steelseeker",2
1452917,"Battery Bearer",2
1452920,"Hulking Metamorph",2.5
1452930,"Spotter Thopter",2.5
1452954,"Defabricate",1
1452968,"Titania's Command",3
1453011,"Kill-Zone Acrobat",1
1453012,"Ravenous Gigamole",1.5
1453013,"Thraxodemon",1.5
1453014,"Gixian Skullflayer",1.5
1453015,"Dredging Claw",2
1453016,"Whirling Strike",1
1453017,"Scrapwork Rager",3
1453018,"Scrapwork Mutt",2.5
1453019,"Excavation Explosion",2
1453020,"Unleash Shell",2
1453021,"Blanchwood Prowler",1
1453022,"Perimeter Patrol",0.5
1453023,"Shoot Down",1
1453024,"Koilos Roc",1.5
1453025,"Weakstone's Subjugation",3
1453026,"Combat Courier",2
1453027,"Aeronaut Cavalry",3.5
1453028,"Airlift Chaplain",4.5
1453029,"Phalanx Vanguard",3.5
1453030,"Recommission",4
1453031,"Warlord's Elite",3.5
1453032,"Veteran's Powerblade",1.5
1453033,"Legions to Ashes",3.5
1453034,"Yotian Tactician",3.5
1453075,"Meticulous Excavation",3
1453076,"Military Discipline",3.5
1453077,"Prison Sentence",4
1453079,"Coastal Bulwark",2.5
1453081,"Wing Commando",2.5
1453082,"Trench Stalker",1.5
1453083,"Arms Race",0
1453084,"Scatter Ray",1
1453085,"Retrieval Agent",0
1453087,"Conscripted Infantry",0.5
1453089,"Involuntary Cooldown",1.5
1453091,"Desynchronize",1
1453093,"Goring Warplow",3
1453094,"Giant Cindermaw",2
1453095,"Curate",1
1453097,"Emergency Weld",1.5
1453099,"Air Marshal",1.5
1453102,"Aeronaut's Wings",3
1453103,"Dwarven Forge-Chanter",1
1453104,"Gixian Infiltrator",1
1453106,"Energy Refractor",3
1453107,"Over the Top",0
1453109,"Carrion Locust",1.5
1453110,"Slagstone Refinery",2
1453111,"Penregon Strongbull",1
1453113,"Spectrum Sentinel",1.5
1453115,"Roc Hunter",1
1453116,"Stone Retrieval Unit",3
1453118,"Supply Drop",1.5
1453119,"Tomakul Scrapsmith",1
1453121,"Swiftgear Drake",2
1453123,"Tower Worker",1.5
1453125,"Hostile Negotiations",1.5
1453127,"Evolving Wilds",3
1453128,"Moment of Defiance",1
1453131,"Transmogrant Altar",3
1453133,"Sarinth Greatwurm",1
1453134,"Fateful Handoff",1
1453138,"Boulderbranch Golem",2
1453139,"Cradle Clearcutter",1.5
1453140,"Tomakul Honor Guard",0.5
1453141,"Hoarding Recluse",0
