"id","name","quantity","rating"
382866,"Black Lotus",1,5
389681,"Sol Ring",1,5
382841,"Ancestral Recall",1,4.5
383023,"Mox Sapphire",1,4.5
383131,"Time Walk",1,4.5
383020,"Mox Jet",1,4.5
383022,"Mox Ruby",1,4.5
383021,"Mox Pearl",1,4.5
383019,"Mox Emerald",1,4.5
413767,"Mana Crypt",1,4.5
442051,"Jace, the Mind Sculptor",1,4.5
382997,"Library of Alexandria",1,4.5
438631,"Mana Drain",1,4.5
81979,"Umezawa's Jitte",1,4.5
456689,"Demonic Tutor",1,4.5
456825,"Mana Vault",1,4.5
201311,"Mind Twist",1,4.5
456667,"Snapcaster Mage",1,4.5
389756,"Wurmcoil Engine",1,4
12626,"Grim Monolith",1,4
456700,"Liliana of the Veil",1,4
12383,"Tinker",1,4
12148,"Treachery",1,4
397441,"Recurring Nightmare",1,4
442130,"Lightning Bolt",1,4
413654,"Vampiric Tutor",1,4
442024,"Swords to Plowshares",1,4
389676,"Skullclamp",1,4
438723,"Channel",1,4
438613,"Consecrated Sphinx",1,4
456601,"Karn Liberated",1,4
383113,"Strip Mine",1,4
397482,"Mox Diamond",1,4
233055,"Batterskull",1,4
370471,"Sword of Fire and Ice",1,4
391948,"Ugin, the Spirit Dragon",1,4
426069,"Scalding Tarn",1,4
413741,"Dack Fayden",1,4
425842,"Path to Exile",1,4
456681,"Bitterblossom",1,4
413544,"Balance",1,4
438676,"Thoughtseize",1,4
425897,"Griselbrand",1,4
389540,"Grave Titan",1,4
386627,"Polluted Delta",1,4
442889,"Karn, Scion of Urza",1,4
221896,"Birds of Paradise",1,4
456770,"Noble Hierarch",1,4
413690,"Sneak Attack",1,3.5
426065,"Misty Rainforest",1,3.5
442212,"Coalition Relic",1,3.5
383074,"Rofellos, Llanowar Emissary",1,3.5
442039,"Counterspell",1,3.5
265979,"Preordain",1,3.5
438749,"Primeval Titan",1,3.5
214375,"Phyrexian Metamorph",1,3.5
386537,"Flooded Strand",1,3.5
383143,"Upheaval",1,3.5
244313,"Ponder",1,3.5
413729,"Sylvan Library",1,3.5
370551,"Elspeth, Knight-Errant",1,3.5
413591,"Force of Will",1,3.5
198383,"Stoneforge Mystic",1,3.5
417683,"Chandra, Torch of Defiance",1,3.5
438632,"Mana Leak",1,3.5
413719,"Natural Order",1,3.5
456654,"Glen Elendra Archmage",1,3.5
442065,"Vendilion Clique",1,3.5
383142,"Underground Sea",1,3.5
397881,"Remand",1,3.5
383147,"Volcanic Island",1,3.5
438614,"Cryptic Command",1,3.5
426074,"Verdant Catacombs",1,3.5
413590,"Fact or Fiction",1,3.5
209280,"Sword of Body and Mind",1,3.5
426064,"Marsh Flats",1,3.5
386495,"Bloodstained Mire",1,3.5
426054,"Arid Mesa",1,3.5
413650,"Toxic Deluge",1,3.5
456832,"Ancient Tomb",1,3.5
413584,"Control Magic",1,3.5
45279,"Bribery",1,3.5
10422,"Gaea's Cradle",1,3.5
391883,"Monastery Mentor",1,3.5
397731,"Dark Confidant",1,3.5
456600,"Emrakul, the Aeons Torn",1,3.5
397764,"Mulldrifter",1,3.5
456759,"Eternal Witness",1,3.5
386729,"Wooded Foothills",1,3.5
373649,"Elspeth, Sun's Champion",1,3.5
438594,"Restoration Angel",1,3.5
386725,"Windswept Heath",1,3.5
383133,"Tolarian Academy",1,3.5
456706,"Reanimate",1,3.5
441994,"Armageddon",1,3.5
397830,"Dismember",1,3.5
442035,"Brainstorm",1,3.5
15796,"Opposition",1,3.5
413634,"Hymn to Tourach",1,3.5
193462,"Joraga Treespeaker",1,3.5
413604,"Mystical Tutor",1,3.5
425921,"Goblin Guide",1,3.5
456646,"Dig Through Time",1,3.5
247323,"Garruk Wildspeaker",1,3.5
438796,"Thran Dynamo",1,3.5
438608,"Ancestral Vision",1,3.5
383138,"Tropical Island",1,3.5
443095,"Teferi, Hero of Dominaria",1,3.5
413620,"Animate Dead",1,3.5
425871,"Phantasmal Image",1,3.5
383139,"Tundra",1,3.5
413665,"Chain Lightning",1,3.5
397816,"Splinter Twin",1,3.5
253624,"Pack Rat",1,3.5
397535,"Survival of the Fittest",1,3.5
425888,"Damnation",1,3.5
383151,"Wheel of Fortune",1,3.5
456751,"Young Pyromancer",1,3.5
438584,"Elesh Norn, Grand Cenobite",1,3.5
389682,"Solemn Simulacrum",1,3.5
413564,"Mother of Runes",1,3.5
438740,"Lotus Cobra",1,3.5
382934,"Fastbond",1,3.5
401897,"Gideon, Ally of Zendikar",1,3.5
184717,"Imperial Seal",1,3.5
413790,"Wasteland",1,3.5
413738,"Baleful Strix",1,3.5
438702,"Kiki-Jiki, Mirror Breaker",1,3.5
442025,"Thalia, Guardian of Thraben",1,3.5
214070,"Sword of Feast and Famine",1,3.5
389608,"Myr Battlesphere",1,3.5
413711,"Green Sun's Zenith",1,3
425880,"Venser, Shaper Savant",1,3
450261,"Llanowar Elves",1,3
413580,"Wrath of God",1,3
413692,"Sulfuric Vortex",1,3
456709,"Shriekmaw",1,3
382947,"Fyndhorn Elves",1,3
443103,"Gilded Lotus",1,3
12376,"Miscalculation",1,3
383132,"Timetwister",1,3
417808,"Smuggler's Copter",1,3
221563,"Blightsteel Colossus",1,3
456690,"Entomb",1,3
394613,"Kolaghan's Command",1,3
389499,"Elvish Mystic",1,3
453007,"Steam Vents",1,3
456675,"Treasure Cruise",1,3
425837,"Lingering Souls",1,3
423848,"Walking Ballista",1,3
397760,"Oblivion Ring",1,3
5697,"Show and Tell",1,3
185737,"Oracle of Mul Daya",1,3
456835,"Creeping Tar Pit",1,3
370455,"Sword of Light and Shadow",1,3
218043,"Porcelain Legionnaire",1,3
383258,"Goblin Rabblemaster",1,3
376371,"Inferno Titan",1,3
382896,"Council's Judgment",1,3
426044,"Dimir Signet",1,3
414295,"Emrakul, the Promised End",1,3
442208,"Vindicate",1,3
426048,"Izzet Signet",1,3
409997,"Tireless Tracker",1,3
425947,"Craterhoof Behemoth",1,3
382852,"Badlands",1,3
456834,"Celestial Colonnade",1,3
413777,"Worn Powerstone",1,3
402079,"Ulamog, the Ceaseless Hunger",1,3
453009,"Watery Grave",1,3
435200,"Chart a Course",1,3
425900,"Inquisition of Kozilek",1,3
382860,"Bayou",1,3
426040,"Azorius Signet",1,3
376478,"Sakura-Tribe Elder",1,3
220139,"Day of Judgment",1,3
417640,"Torrential Gearhulk",1,3
214064,"Hero of Bladehold",1,3
442153,"Courser of Kruphix",1,3
380453,"Mana Confluence",1,3
205960,"Jace Beleren",1,3
383083,"Scrubland",1,3
457395,"Hallowed Fountain",1,3
442093,"Ravenous Chupacabra",1,3
213799,"Go for the Throat",1,3
383122,"Taiga",1,3
383049,"Plateau",1,3
413774,"Sensei's Divining Top",1,3
378377,"Brimaz, King of Oreskos",1,3
413586,"Daze",1,3
233056,"Gitaxian Probe",1,3
442222,"Sundering Titan",1,3
383079,"Savannah",1,3
456791,"Woodfall Primus",1,3
425968,"Thragtusk",1,3
3621,"Necromancy",1,3
457390,"Breeding Pool",1,3
413739,"Bloodbraid Elf",1,3
447230,"Duress",1,3
413761,"Chrome Mox",1,3
234075,"Incinerate",1,3
413551,"Enlightened Tutor",1,3
266299,"Ajani Vengeant",1,3
456840,"Karakas",1,3
