"id","name","rating"
442889,"Karn, Scion of Urza",4.5
442890,"Adamant Will",2.5
442891,"Aven Sentry",2
442892,"Baird, Steward of Argive",3
442893,"Benalish Honor Guard",1.5
442894,"Benalish Marshal",3.5
442895,"Blessed Light",3
442896,"Board the Weatherlight",1
442897,"Call the Cavalry",3
442898,"Charge",1.5
442899,"D'Avenant Trapper",2
442900,"Danitha Capashen, Paragon",3.5
442901,"Daring Archaeologist",3.5
442902,"Dauntless Bodyguard",3
442903,"Dub",2
442904,"Evra, Halcyon Witness",3
442905,"Excavation Elephant",2.5
442906,"Fall of the Thran",1.5
442907,"Gideon's Reproach",3
442908,"Healing Grace",1
442909,"History of Benalia",4
442910,"Invoke the Divine",0.5
442911,"Knight of Grace",3.5
442912,"Knight of New Benalia",2
442913,"Kwende, Pride of Femeref",2
442914,"Lyra Dawnbringer",4.5
442915,"Mesa Unicorn",2.5
442916,"On Serra's Wings",3.5
442917,"Pegasus Courser",3
442918,"Sanctum Spirit",3
442919,"Seal Away",3.5
442920,"Sergeant-at-Arms",3
442921,"Serra Angel",4
442922,"Serra Disciple",1.5
442923,"Shalai, Voice of Plenty",4.5
442924,"Teshar, Ancestor's Apostle",3.5
442925,"Tragic Poet",0.5
442926,"Triumph of Gerrard",3.5
442927,"Urza's Ruinous Blast",1
442928,"Academy Drake",3.5
442929,"Academy Journeymage",3.5
442930,"The Antiquities War",0
442931,"Arcane Flight",2.5
442932,"Artificer's Assistant",1.5
442933,"Befuddle",1.5
442934,"Blink of an Eye",3
442935,"Cloudreader Sphinx",3.5
442936,"Cold-Water Snapper",1
442937,"Curator's Ward",0
442938,"Deep Freeze",3
442939,"Diligent Excavator",1
442940,"Divination",2
442941,"Homarid Explorer",1.5
442942,"In Bolas's Clutches",4.5
442943,"Karn's Temporal Sundering",0.5
442944,"Merfolk Trickster",3.5
442945,"The Mirari Conjecture",1
442946,"Naban, Dean of Iteration",1.5
442947,"Naru Meha, Master Wizard",3.5
442948,"Opt",1.5
442949,"Precognition Field",1
442950,"Relic Runner",1.5
442951,"Rescue",0.5
442952,"Sage of Lat-Nam",1
442953,"Sentinel of the Pearl Trident",2
442954,"Slinn Voda, the Rising Deep",0.5
442955,"Syncopate",2.5
442956,"Tempest Djinn",3.5
442957,"Tetsuko Umezawa, Fugitive",3
442958,"Time of Ice",3.5
442959,"Tolarian Scholar",1
442960,"Unwind",0.5
442961,"Vodalian Arcanist",1.5
442962,"Weight of Memory",1.5
442963,"Wizard's Retort",1.5
442964,"Zahid, Djinn of the Lamp",4
442965,"Blessing of Belzenlok",1.5
442966,"Cabal Evangel",1
442967,"Cabal Paladin",1.5
442968,"Caligo Skin-Witch",2
442969,"Cast Down",4
442970,"Chainer's Torment",1.5
442971,"Dark Bargain",1.5
442972,"Deathbloom Thallid",3
442973,"Demonic Vigor",1
442974,"Demonlord Belzenlok",4
442975,"Divest",1
442976,"Dread Shade",3.5
442977,"Drudge Sentinel",1.5
442978,"The Eldest Reborn",3.5
442979,"Eviscerate",3.5
442980,"Feral Abomination",1.5
442981,"Final Parting",0
442982,"Fungal Infection",3
442983,"Josu Vess, Lich Knight",4
442984,"Kazarov, Sengir Pureblood",3
442985,"Knight of Malice",3.5
442986,"Lich's Mastery",0
442987,"Lingering Phantom",1.5
442988,"Phyrexian Scriptures",4
442989,"Rat Colony",1
442990,"Rite of Belzenlok",3.5
442991,"Settle the Score",3.5
442992,"Soul Salvage",1.5
442993,"Stronghold Confessor",3
442994,"Thallid Omnivore",2
442995,"Thallid Soothsayer",1.5
442996,"Torgaar, Famine Incarnate",1.5
442997,"Urgoros, the Empty One",1.5
442998,"Vicious Offering",3.5
442999,"Whisper, Blood Liturgist",1.5
443000,"Windgrace Acolyte",2.5
443001,"Yargle, Glutton of Urborg",1
443002,"Yawgmoth's Vile Offering",1
443003,"Bloodstone Goblin",1.5
443004,"Champion of the Flame",1
443005,"Fervent Strike",2
443006,"Fiery Intervention",3
443007,"Fight with Fire",4
443008,"Fire Elemental",1
443009,"Firefist Adept",3
443010,"The First Eruption",3
443011,"The Flame of Keld",1
443012,"Frenzied Rage",2
443013,"Ghitu Chronicler",1.5
443014,"Ghitu Journeymage",1.5
443015,"Ghitu Lavarunner",1
443016,"Goblin Barrage",3
443017,"Goblin Chainwhirler",2.5
443018,"Goblin Warchief",1.5
443019,"Haphazard Bombardment",3
443020,"Jaya Ballard",1
443021,"Jaya's Immolating Inferno",1
443022,"Keldon Overseer",2.5
443023,"Keldon Raider",3
443024,"Keldon Warcaller",1.5
443025,"Orcish Vandal",1
443026,"Radiating Lightning",1
443027,"Rampaging Cyclops",3
443028,"Run Amok",1.5
443029,"Seismic Shift",0.5
443030,"Shivan Fire",3.5
