"id","name","rating"
472963,"Acclaimed Contender",3
472964,"All That Glitters",1.5
472965,"Archon of Absolution",3.5
472966,"Ardenvale Paladin",1.5
472967,"Ardenvale Tactician // Dizzying Swoop",3
472968,"Bartered Cow",0.5
472969,"Beloved Princess",0
472970,"Charming Prince",3.5
472971,"The Circle of Loyalty",4
472972,"Deafening Silence",0
472973,"Faerie Guidemother // Gift of the Fae",3
472974,"Flutterfox",2.5
472975,"Fortifying Provisions",0.5
472976,"Giant Killer // Chop Down",4
472977,"Glass Casket",3
472978,"Happily Ever After",0
472979,"Harmonious Archon",4.5
472980,"Hushbringer",2.5
472981,"Knight of the Keep",1
472982,"Linden, the Steadfast Queen",2
472983,"Lonesome Unicorn // Rider in Need",2
472984,"Mysterious Pathlighter",3
472985,"Outflank",1.5
472986,"Prized Griffin",1.5
472987,"Rally for the Throne",1.5
472988,"Realm-Cloaked Giant // Cast Off",4.5
472989,"Righteousness",0.5
472990,"Shepherd of the Flock // Usher to Safety",3
472991,"Shining Armor",1
472992,"Silverflame Ritual",1.5
472993,"Silverflame Squire // On Alert",2
472994,"Syr Alin, the Lion's Claw",3.5
472995,"Trapped in the Tower",3
472996,"True Love's Kiss",1
472997,"Venerable Knight",2.5
472998,"Worthy Knight",3.5
472999,"Youthful Knight",2
473000,"Animating Faerie // Bring to Life",3.5
473001,"Brazen Borrower // Petty Theft",4
473002,"Charmed Sleep",3
473003,"Corridor Monitor",1
473004,"Didn't Say Please",2
473005,"Emry, Lurker of the Loch",3
473006,"Fae of Wishes // Granted",3
473007,"Faerie Vandal",3
473008,"Folio of Fancies",3
473009,"Frogify",2.5
473010,"Gadwick, the Wizened",3.5
473011,"Hypnotic Sprite // Mesmeric Glare",3
473012,"Into the Story",2
473013,"The Magic Mirror",1.5
473014,"Mantle of Tides",0.5
473015,"Merfolk Secretkeeper // Venture Deeper",3
473016,"Midnight Clock",3
473017,"Mirrormade",1.5
473018,"Mistford River Turtle",1
473019,"Moonlit Scavengers",1.5
473020,"Mystical Dispute",1.5
473021,"Opt",2
473022,"Overwhelmed Apprentice",2.5
473023,"Queen of Ice // Rage of Winter",2.5
473024,"Run Away Together",3
473025,"Sage of the Falls",2
473026,"So Tiny",3
473027,"Steelgaze Griffin",1.5
473028,"Stolen by the Fae",3.5
473029,"Syr Elenora, the Discerning",3
473030,"Tome Raider",2.5
473031,"Turn into a Pumpkin",3
473032,"Unexplained Vision",2
473033,"Vantress Gargoyle",3.5
473034,"Vantress Paladin",2
473035,"Wishful Merfolk",1
473036,"Witching Well",2
473037,"Ayara, First of Locthwain",3.5
473038,"Bake into a Pie",4
473039,"Barrow Witches",2
473040,"Belle of the Brawl",3
473041,"Blacklance Paragon",3.5
473042,"Bog Naughty",3
473043,"Cauldron Familiar",2
473044,"The Cauldron of Eternity",3
473045,"Cauldron's Gift",1
473046,"Clackbridge Troll",4
473047,"Epic Downfall",3.5
473048,"Eye Collector",1
473049,"Festive Funeral",1.5
473050,"Foreboding Fruit",2
473051,"Forever Young",2.5
473052,"Foulmire Knight // Profane Insight",3.5
473053,"Giant's Skewer",1
473054,"Lash of Thorns",1
473055,"Locthwain Paladin",2
473056,"Lost Legion",2
473057,"Malevolent Noble",1.5
473058,"Memory Theft",1.5
473059,"Murderous Rider // Swift End",4.5
473060,"Oathsworn Knight",3.5
473061,"Order of Midnight // Alter Fate",3.5
473062,"Piper of the Swarm",3.5
473063,"Rankle, Master of Pranks",4.5
473064,"Reaper of Night // Harvest Fear",2.5
473065,"Reave Soul",3.5
473066,"Revenge of Ravens",3
473067,"Smitten Swordmaster // Curry Favor",3
473068,"Specter's Shriek",0.5
473069,"Syr Konrad, the Grim",3.5
473070,"Tempting Witch",2
473071,"Wicked Guardian",1.5
473072,"Wishclaw Talisman",1.5
473073,"Witch's Vengeance",3.5
473074,"Barge In",1
473075,"Bloodhaze Wolverine",1.5
473076,"Blow Your House Down",1
473077,"Bonecrusher Giant // Stomp",4
473078,"Brimstone Trebuchet",2.5
473079,"Burning-Yard Trainer",2.5
473080,"Claim the Firstborn",1
473081,"Crystal Slipper",0.5
473082,"Embercleave",4
473083,"Embereth Paladin",1.5
473084,"Embereth Shieldbreaker // Battle Display",3
473085,"Ferocity of the Wilds",1
473086,"Fervent Champion",3
473087,"Fires of Invention",1
473088,"Fling",0
473089,"Irencrag Feat",0.5
473090,"Irencrag Pyromancer",3.5
473091,"Joust",2.5
473092,"Mad Ratter",2.5
473093,"Merchant of the Vale // Haggle",3
473094,"Ogre Errant",1.5
473095,"Opportunistic Dragon",3.5
473096,"Raging Redcap",1.5
473097,"Redcap Melee",2.5
473098,"Redcap Raiders",1.5
473099,"Rimrock Knight // Boulder Rush",3
473100,"Robber of the Rich",3.5
473101,"Scorching Dragonfire",3.5
473102,"Searing Barrage",3
473103,"Seven Dwarves",1.5
473104,"Skullknocker Ogre",1
473105,"Slaying Fire",3.5
473106,"Sundering Stroke",3.5
473107,"Syr Carah, the Bold",3.5
473108,"Thrill of Possibility",1.5
473109,"Torbran, Thane of Red Fell",4
473110,"Weaselback Redcap",2
473111,"Beanstalk Giant // Fertile Footsteps",3
473112,"Curious Pair // Treats to Share",1.5
473113,"Edgewall Innkeeper",3.5
473114,"Feasting Troll King",4
473115,"Fell the Pheasant",1
473116,"Fierce Witchstalker",3.5
473117,"Flaxen Intruder // Welcome Home",1.5
473118,"Garenbrig Carver // Shield's Might",1.5
473119,"Garenbrig Paladin",2.5
473120,"Garenbrig Squire",1.5
473121,"Giant Opportunity",1.5
473122,"Gilded Goose",3.5
473123,"The Great Henge",4
473124,"Insatiable Appetite",1
473125,"Keeper of Fables",3.5
473126,"Kenrith's Transformation",2
473127,"Lovestruck Beast // Heart's Desire",3.5
473128,"Maraleaf Rider",1.5
473129,"Oakhame Adversary",3.5
473130,"Once and Future",2.5
473131,"Once Upon a Time",3.5
473132,"Outmuscle",3
473133,"Questing Beast",4.5
473134,"Return of the Wildspeaker",3.5
473135,"Return to Nature",1
473136,"Rosethorn Acolyte // Seasonal Ritual",3
473137,"Rosethorn Halberd",1.5
473138,"Sporecap Spider",1.5
473139,"Syr Faren, the Hengehammer",3
