"id","name","rating"
479521,"Adaptive Shimmerer",1
479522,"Farfinder",2.5
479523,"Mysterious Egg",1
479524,"Blade Banish",3
479525,"Checkpoint Officer",3
479526,"Coordinated Charge",0.5
479527,"Cubwarden",4
479528,"Daysquad Marshal",1.5
479529,"Divine Arrow",3
479530,"Drannith Healer",1.5
479531,"Drannith Magistrate",1
479532,"Fight as One",1.5
479533,"Flourishing Fox",3
479534,"Garrison Cat",1
479535,"Helica Glider",2
479536,"Huntmaster Liger",3
479538,"Keensight Mentor",3
479539,"Lavabrink Venturer",3.5
479540,"Light of Hope",0
479542,"Majestic Auricorn",2
479543,"Maned Serval",0.5
479544,"Mythos of Snapdax",3.5
479545,"Pacifism",3.5
479546,"Patagia Tiger",1.5
479547,"Perimeter Sergeant",1.5
479548,"Sanctuary Lockdown",1.5
479549,"Savai Sabertooth",1
479550,"Snare Tactician",2
479551,"Solid Footing",1
479552,"Splendor Mare",3
479553,"Spontaneous Flight",1.5
479554,"Stormwild Capridor",2
479555,"Swallow Whole",2.5
479556,"Valiant Rescuer",3
479557,"Vulpikeet",3
479558,"Will of the All-Hunter",1.5
479559,"Aegis Turtle",0
479560,"Anticipate",1.5
479561,"Archipelagore",2.5
479562,"Avian Oddity",3
479563,"Boon of the Wish-Giver",3
479564,"Capture Sphere",3.5
479565,"Convolute",1
479566,"Crystacean",0
479567,"Dreamtail Heron",3.5
479568,"Escape Protocol",1.5
479569,"Essence Scatter",2.5
479570,"Facet Reader",1.5
479571,"Frost Lynx",2.5
479572,"Frostveil Ambush",1.5
479573,"Glimmerbell",1.5
479574,"Gust of Wind",2.5
479575,"Hampering Snare",0.5
479576,"Keep Safe",1
479577,"Mystic Subdual",2
479578,"Mythos of Illuna",3.5
479579,"Neutralize",2.5
479580,"Of One Mind",2.5
479581,"Ominous Seas",3
479582,"Phase Dolphin",1.5
479583,"Pollywog Symbiote",3
479584,"Pouncing Shoreshark",3.5
479585,"Reconnaissance Mission",3
479586,"Sea-Dasher Octopus",4
479587,"Shark Typhoon",4.5
479588,"Startling Development",1.5
479589,"Thieving Otter",3
479590,"Voracious Greatshark",4
479591,"Wingfold Pteron",1.5
479592,"Wingspan Mentor",3.5
479593,"Bastion of Remembrance",2.5
479594,"Blitz Leech",2
479595,"Blood Curdle",3.5
479596,"Boot Nipper",2.5
479597,"Bushmeat Poacher",1.5
479598,"Call of the Death-Dweller",2.5
479599,"Cavern Whisperer",2.5
479600,"Chittering Harvester",3
479601,"Corpse Churn",1
479602,"Dark Bargain",2
479603,"Dead Weight",3.5
479604,"Dirge Bat",4.5
479605,"Durable Coilbug",1.5
479606,"Duskfang Mentor",3
479607,"Easy Prey",3
479608,"Extinction Event",4
479609,"Gloom Pangolin",0
479610,"Grimdancer",3.5
479611,"Heartless Act",4
479612,"Hunted Nightmare",3.5
479613,"Insatiable Hemophage",3
479614,"Lurking Deadeye",2.5
479615,"Memory Leak",1.5
479616,"Mutual Destruction",2
479617,"Mythos of Nethroi",4.5
479618,"Nightsquad Commando",1.5
479619,"Serrated Scorpion",1.5
479620,"Suffocating Fumes",1
479621,"Unbreakable Bond",1.5
479622,"Unexpected Fangs",0.5
479623,"Unlikely Aid",1
479624,"Void Beckoner",3
479625,"Whisper Squad",0
479626,"Zagoth Mamba",3
479627,"Blazing Volley",0
479628,"Blisterspit Gremlin",1
479629,"Blitz of the Thunder-Raptor",2
479630,"Cathartic Reunion",1
479631,"Clash of Titans",3
479632,"Cloudpiercer",2.5
479633,"Drannith Stinger",2.5
479634,"Everquill Phoenix",4
479635,"Ferocious Tigorilla",2
479636,"Fire Prophecy",3.5
479637,"Flame Spill",3.5
479638,"Footfall Crater",1
479639,"Forbidden Friendship",1.5
479640,"Frenzied Raptor",1
479641,"Frillscare Mentor",3
479642,"Go for Blood",3
479643,"Heightened Reflexes",1.5
479644,"Lava Serpent",2
479645,"Lukka, Coppercoat Outcast",4.5
479646,"Momentum Rumbler",3
479647,"Mythos of Vadrok",3.5
479648,"Porcuparrot",3.5
479649,"Prickly Marmoset",2.5
479650,"Pyroceratops",2
479651,"Raking Claws",1.5
479653,"Rooting Moloch",3
479654,"Rumbling Rockslide",3
479655,"Sanctuary Smasher",3
479656,"Shredded Sails",1
479657,"Spelleater Wolverine",2
479658,"Tentative Connection",0.5
479659,"Unpredictable Cyclone",2
479660,"Weaponize the Monsters",1
479661,"Yidaro, Wandering Monster",3.5
479662,"Adventurous Impulse",1.5
479663,"Almighty Brushwagg",1.5
479664,"Auspicious Starrix",3
479665,"Barrier Breach",0
479666,"Bristling Boar",2
479667,"Charge of the Forever-Beast",3
479668,"Colossification",2
479669,"Essence Symbiote",3
479670,"Excavation Mole",1.5
479671,"Exuberant Wolfbear",3
479672,"Fertilid",3
479673,"Flycatcher Giraffid",1.5
479674,"Fully Grown",1.5
479675,"Gemrazer",3.5
479676,"Glowstone Recluse",3
479677,"Greater Sandwurm",2
479678,"Honey Mammoth",1.5
479679,"Hornbash Mentor",3
479680,"Humble Naturalist",3
479681,"Ivy Elemental",2.5
479682,"Kogla, the Titan Ape",4
479683,"Lead the Stampede",2
479684,"Migration Path",2
479685,"Migratory Greathorn",3
479686,"Monstrous Step",1.5
479687,"Mosscoat Goriak",1
479688,"Mythos of Brokkos",3
479689,"Plummet",0
479690,"Ram Through",3
479691,"Sudden Spinnerets",1
479693,"Thwart the Enemy",1
479694,"Titanoth Rex",3
479695,"Vivien, Monsters' Advocate",5
479696,"Wilt",1
479697,"Back for More",3.5
479698,"Boneyard Lurker",3.5
479699,"Brokkos, Apex of Forever",4.5
479700,"Channeled Force",2
479701,"Chevill, Bane of Monsters",3.5
479702,"Death's Oasis",2.5
479703,"Dire Tactics",3.5
479704,"Eerie Ultimatum",2.5
479705,"Emergent Ultimatum",2
479706,"Frondland Felidar",3.5
479707,"General Kudro of Drannith",3.5
479708,"General's Enforcer",2.5
479709,"Genesis Ultimatum",2.5
479710,"Illuna, Apex of Wishes",4.5
479711,"Inspired Ultimatum",3
479712,"Kinnan, Bonder Prodigy",3.5
479713,"Labyrinth Raptor",3.5
479714,"Lore Drakkis",3
479715,"Narset of the Ancient Way",4
479716,"Necropanther",3.5
479717,"Nethroi, Apex of Death",4.5
479718,"Offspring's Revenge",2
479719,"Parcelbeast",3.5
479720,"Primal Empathy",3
479721,"Quartzwood Crasher",4
479722,"Regal Leosaur",3
479723,"Rielle, the Everwise",3.5
479724,"Ruinous Ultimatum",3
479725,"Savai Thundermane",3.5
479726,"Skull Prophet",3
479727,"Skycat Sovereign",3.5
479728,"Slitherwisp",3
479729,"Snapdax, Apex of the Hunt",4
479730,"Song of Creation",2
479731,"Sprite Dragon",3
479732,"Titans' Nest",1
479733,"Trumpeting Gnarr",3.5
479734,"Vadrok, Apex of Thunder",4
479735,"Whirlwind of Thought",2
479736,"Winota, Joiner of Forces",3.5
479737,"Zenith Flare",1.5
479738,"Alert Heedbonder",2
479739,"Cunning Nightbonder",3
479740,"Fiend Artisan",4
479741,"Gyruda, Doom of Depths",4
479742,"Jegantha, the Wellspring",3.5
479743,"Jubilant Skybonder",3
479744,"Kaheera, the Orphanguard",3.5
479747,"Lutri, the Spellchaser",3.5
479748,"Obosh, the Preypiercer",3.5
479749,"Proud Wildbonder",3.5
479750,"Sonorous Howlbonder",3
479751,"Umori, the Collector",3.5
479752,"Yorion, Sky Nomad",3.5
479753,"Zirda, the Dawnwaker",3
479754,"Crystalline Giant",4
479755,"Indatha Crystal",1
479756,"Ketria Crystal",1.5
479757,"The Ozolith",2
479758,"Raugrin Crystal",1.5
479759,"Savai Crystal",1
479760,"Sleeper Dart",0.5
479761,"Springjaw Trap",0.5
479762,"Zagoth Crystal",1
479763,"Bloodfell Caves",1
479764,"Blossoming Sands",1
479766,"Dismal Backwater",1
479767,"Evolving Wilds",2
479768,"Indatha Triome",2.5
479769,"Jungle Hollow",1
479770,"Ketria Triome",3
479771,"Raugrin Triome",3
479772,"Rugged Highlands",0.5
479773,"Savai Triome",2
479774,"Scoured Barrens",0.5
479775,"Swiftwater Cliffs",1
479776,"Thornwood Falls",0.5
479777,"Tranquil Cove",1
479778,"Wind-Scarred Crag",1
479779,"Zagoth Triome",2.5
482535,"Plains",0
482538,"Island",0
482541,"Swamp",0
482544,"Mountain",0
482547,"Forest",0
