"id","name","rating"
220010,"Harvest Pyre",2
220019,"Ghoulraiser",2
220021,"Ghoulcaller's Chant",1.5
220022,"Feral Ridgewolf",1.5
220023,"Victim of Night",3
220026,"Travel Preparations",2
220031,"Frightful Delusion",1
220035,"Into the Maw of Hell",3
220040,"Kessig Wolf",1.5
220041,"Invisible Stalker",3.5
220045,"One-Eyed Scarecrow",1.5
220047,"Silent Departure",3
220049,"Butcher's Cleaver",3
220050,"Boneyard Wurm",1.5
220052,"Ghostly Possession",1
220062,"Slayer of the Wicked",3.5
220370,"Angelic Overseer",4.5
220371,"Ghost Quarter",0
220372,"Spectral Rider",3
220373,"Bloodcrazed Neonate",2
220377,"Smite the Monstrous",2
220378,"Creepy Doll",3
220380,"Avacynian Priest",3
220383,"Prey Upon",2.5
220386,"Nightbird's Clutches",1.5
220387,"Skeletal Grimace",1
220389,"Unruly Mob",2
220390,"Cellar Door",0
220393,"Dead Weight",3
220631,"Stitcher's Apprentice",2
220634,"Typhoid Rats",2
220638,"Skirsdag Cultist",3
220642,"Sharpened Pitchfork",1.5
220644,"Ambush Viper",2.5
220648,"Riot Devils",1
220649,"Cobbled Wings",1
220652,"Stitched Drake",3
220654,"Woodland Sleuth",1.5
221171,"Deranged Assistant",2.5
221179,"Ludevic's Test Subject // Ludevic's Abomination",3
221186,"Trepanation Blade",1.5
221187,"Moon Heron",2.5
221193,"Mask of Avacyn",1.5
221209,"Civilized Scholar // Homicidal Brute",3
221211,"Screeching Bat // Stalking Vampire",3
221212,"Cloistered Youth // Unholy Fiend",3
221214,"Midnight Haunting",3.5
221216,"Bonds of Faith",3
221219,"Selfless Cathar",1.5
221284,"Blazing Torch",3
221288,"Graveyard Shovel",0
222007,"Fiend Hunter",3.5
222014,"Sensory Deprivation",1.5
222016,"Thraben Sentry // Thraben Militia",2.5
222105,"Ulvenwald Mystics // Ulvenwald Primordials",3
222111,"Reckless Waif // Merciless Predator",3
222112,"Village Ironsmith // Ironfang",2
222118,"Daybreak Ranger // Nightfall Predator",3.5
222124,"Grizzled Outcasts // Krallenhorde Wantons",1.5
222175,"Spider Spawning",3
222186,"Tormented Pariah // Rampaging Werewolf",1.5
222189,"Mayor of Avabruck // Howlpack Alpha",3.5
222190,"Silver-Inlaid Dagger",3
222193,"Make a Wish",0
222194,"Dearly Departed",3.5
222196,"Inquisitor's Flail",1
222203,"Bump in the Night",1
222205,"Bitterheart Witch",0.5
222206,"Blasphemous Act",3.5
222903,"Village Cannibals",2
222904,"Pitchburn Devils",2
222910,"Elder Cathar",2.5
222911,"Abattoir Ghoul",3
222913,"Skaab Goliath",3
222915,"Villagers of Estwald // Howlpack of Estwald",2.5
222916,"Makeshift Mauler",2.5
222921,"Rage Thrower",3
222923,"Village Bell-Ringer",2
222933,"Moonmist",1
226747,"Diregraf Ghoul",3
226748,"Vampire Interloper",2.5
226749,"Delver of Secrets // Insectile Aberration",2
226751,"Falkenrath Noble",3.5
226754,"Markov Patrician",2
226758,"Forbidden Alchemy",2.5
226876,"Stromkirk Patrol",1.5
226878,"Nevermore",0
226879,"Night Revelers",1.5
226880,"Wooden Stake",1
226881,"Curse of the Nightly Hunt",0
226882,"Moment of Heroism",1.5
226883,"Hollowhenge Scavenger",1.5
226884,"Purify the Grave",0
226885,"Bloodgift Demon",4
226889,"Curse of Stalked Prey",3
226890,"Altar's Reap",1.5
227061,"Bloodline Keeper // Lord of Lineage",3.5
227064,"Tribute to Hunger",3
227066,"Urgent Exorcism",1
227071,"Curse of the Pierced Heart",1
227075,"Curse of Death's Hold",3.5
227077,"Scourge of Geier Reach",2
227083,"Manor Gargoyle",3.5
227084,"Kruin Outlaw // Terror of Kruin Pass",3.5
227087,"Unburial Rites",3.5
227088,"Kindercatch",1
227095,"Bramblecrush",0.5
227286,"Moan of the Unhallowed",3.5
227287,"Rooftop Storm",0
227291,"Demonmail Hauberk",1.5
227297,"Mirror-Mad Phantasm",4
227298,"Runic Repetition",0.5
227301,"Splinterfright",3.5
227409,"Gatstaf Shepherd // Gatstaf Howler",3
227415,"Instigator Gang // Wildblood Pack",3.5
227668,"Charmbreaker Devils",3.5
227676,"Snapcaster Mage",3.5
229960,"Mindshrieker",3.5
229964,"Grave Bramble",1
