"id","name","rating"
900001,"Axgard Braggart",1
900002,"Battershield Warrior",3
900003,"Battlefield Raptor",1.5
900004,"Beskir Shieldmate",1.5
900005,"Bound in Gold",1
900006,"Clarion Spirit",3
900007,"Codespell Cleric",1.5
900008,"Divine Gambit",3
900009,"Doomskar",3
900010,"Doomskar Oracle",1
900011,"Giant Ox",1.5
900012,"Glorious Protector",3.5
900013,"Gods' Hall Guardian",0
900014,"Goldmaw Champion",1
900015,"Halvar, God of Battle // Sword of the Realms",4.5
900016,"Invoke the Divine",1
900017,"Iron Verdict",1
900018,"Kaya's Onslaught",2.5
900019,"Master Skald",0
900020,"Rally the Ranks",3.5
900021,"Reidane, God of the Worthy // Valkmira, Protector's Shield",3.5
900022,"Resplendent Marshal",4.5
900023,"Revitalize",1.5
900024,"Righteous Valkyrie",3.5
900025,"Rune of Sustenance",3
900026,"Runeforge Champion",3.5
900027,"Search for Glory",3.5
900028,"Shepherd of the Cosmos",2
900029,"Sigrid, God-Favored",3.5
900030,"Spectral Steel",3
900031,"Stalwart Valkyrie",0
900032,"Starnheim Courser",1
900033,"Starnheim Unleashed",4.5
900034,"Story Seeker",1
900035,"Usher of the Fallen",3
900036,"Valkyrie's Sword",3
900037,"Valor of the Worthy",1.5
900038,"Warhorn Blast",0
900039,"Wings of the Cosmos",1.5
900040,"Alrund, God of the Cosmos // Hakka, Whispering Raven",4
900041,"Alrund's Epiphany",4
900042,"Annul",1.5
900043,"Ascendant Spirit",3.5
900044,"Augury Raven",1
900045,"Avalanche Caller",3
900046,"Behold the Multiverse",1
900047,"Berg Strider",0
900048,"Bind the Monster",1.5
900049,"Brinebarrow Intruder",1.5
900050,"Cosima, God of the Voyage // The Omenkeel",3.5
900051,"Cosmos Charger",3.5
900052,"Cyclone Summoner",3
900053,"""Adios Wormhole""",1.5
900054,"Disdainful Stroke",1.5
900055,"Draugr Thought-Thief",1
900056,"Frost Augur",3
900057,"Frostpeak Yeti",0.5
900058,"Frostpyre Arcanist",2
900059,"Giant's Amulet",3
900060,"Glimpse the Cosmos",3
900061,"Graven Lore",3
900062,"""Chill Out""",3
900063,"Icebreaker Kraken",3
900064,"Inga Rune-Eyes",2.5
900065,"Karfell Harbinger",1.5
900066,"Littjara Kinseekers",0.5
900067,"Mists of Littjara",1.5
900068,"""Misty Stepper""",1
900069,"Mystic Reflection",3.5
900070,"Orvar, the All-Form",4.5
900071,"Pilfering Hawk",1.5
900072,"Ravenform",1
900073,"Reflections of Littjara",3
900074,"Run Ashore",0
900075,"Rune of Flight",3
900076,"Saw It Coming",2.5
900077,"Strategic Planning",1
900078,"Undersea Invader",0
900079,"Blood on the Snow",3
900080,"Bloodsky Berserker",3
900081,"Burning-Rune Demon",4
900082,"Crippling Fear",3.5
900083,"Deathknell Berserker",1.5
900084,"Demonic Gifts",1.5
900085,"Dogged Pursuit",0.5
900086,"Draugr Necromancer",3.5
900087,"""Draugr Recruiter""",1
900088,"Draugr's Helm",3
900089,"Dread Rider",0
900090,"Dream Devourer",3.5
900091,"Duskwielder",1.5
900092,"Egon, God of Death // Throne of Death",3.5
900093,"Elderfang Disciple",1.5
900094,"Eradicator Valkyrie",4.5
900095,"Feed the Serpent",0.5
900096,"Grim Draugr",1
900097,"Hailstorm Valkyrie",2.5
900098,"""Family Get-Together""",4
900099,"Infernal Pet",1
900100,"Jarl of the Forsaken",0.5
900101,"Karfell Kennel-Master",0
900102,"Koma's Faithful",1
900103,"Poison the Cup",2.5
900104,"Priest of the Haunted Edge",1.5
900105,"Raise the Draugr",1.5
900106,"Return Upon the Tide",2
900107,"Rise of the Dread Marn",3.5
900108,"Rune of Mortality",3
900109,"Skemfar Avenger",3.5
900110,"Skemfar Shadowsage",2.5
900111,"Skull Raid",0.5
900112,"Tergrid, God of Fright // Tergrid's Lantern",3
900113,"Tergrid's Shadow",2
900114,"Valki, God of Lies // Tibalt, Cosmic Impostor",5
900115,"Varragoth, Bloodsky Sire",3.5
900116,"Vengeful Reaper",2.5
900117,"Village Rites",1.5
900118,"Weigh Down",1.5
900119,"Withercrown",1
900120,"Arni Brokenbrow",3.5
900121,"Axgard Cavalry",1.5
900122,"Basalt Ravager",2.5
900123,"Birgi, God of Storytelling // Harnfel, Horn of Bounty",3.5
900124,"Breakneck Berserker",1
900125,"Calamity Bearer",3.5
900126,"Cinderheart Giant",0
900127,"Craven Hulk",0.5
900128,"Crush the Weak",2.5
900129,"Demon Bolt",1
900130,"Doomskar Titan",2
900131,"Dragonkin Berserker",3.5
900132,"Dual Strike",3
900133,"Dwarven Hammer",2.5
900134,"Dwarven Reinforcements",0.5
900135,"Fearless Liberator",3
900136,"Fearless Pup",1.5
900137,"Frenzied Raider",3
900138,"Frost Bite",1.5
900139,"Goldspan Dragon",4
900140,"Hagi Mob",0
900141,"Immersturm Raider",1.5
900142,"Magda, Brazen Outlaw",3.5
900143,"Open the Omenpaths",1
900144,"Provoke the Trolls",2.5
900145,"Quakebringer",4
900146,"Reckless Crew",3
900147,"Run Amok",1.5
900148,"Rune of Speed",3
900149,"Seize the Spoils",1
900150,"Shackles of Treachery",1
900151,"Smashing Success",0.5
900152,"Squash",0
900153,"Tibalt's Trickery",3.5
900154,"Toralf, God of Fury // Toralf's Hammer",4.5
900155,"Tormentor's Helm",1.5
900156,"Tundra Fumarole",3.5
900157,"Tuskeri Firewalker",1
900158,"Vault Robber",1
900159,"Arachnoform",1.5
900160,"Battle Mammoth",4
900161,"Blessing of Frost",3.5
900162,"Blizzard Brawl",3
900163,"Boreal Outrider",3
900164,"Broken Wings",1
900165,"Elderleaf Mentor",0.5
900167,"Elvish Warmaster",3.5
900168,"Esika, God of the Tree // The Prismatic Bridge",4.5
900169,"Esika's Chariot",3.5
900170,"Fynn, the Fangbearer",3
900171,"Glittering Frost",1
900172,"Gnottvold Recluse",1
900173,"Grizzled Outrider",0
900174,"Guardian Gladewalker",1.5
900175,"Horizon Seeker",1
900176,"Icehide Troll",1
900177,"In Search of Greatness",3.5
900178,"Jaspera Sentinel",1.5
900179,"Jorn, God of Winter // Kaldring, the Rimestaff",3.5
900180,"King Harald's Revenge",1
900181,"Kolvori, God of Kinship // The Ringhart Crest",3
900182,"Littjara Glade-Warden",2.5
900183,"Mammoth Growth",1
900184,"Masked Vandal",1.5
900185,"Old-Growth Troll",3.5
900186,"Path to the World Tree",3
900187,"Ravenous Lindwurm",0
900188,"Realmwalker",3.5
900189,"Rootless Yew",2
900190,"Roots of Wisdom",1.5
900191,"Rune of Might",3
900192,"Sarulf's Packmate",0.5
900193,"Sculptor of Winter",1.5
900194,"Snakeskin Veil",1.5
900195,"Spirit of the Aldergard",2.5
900197,"Toski, Bearer of Secrets",3
900198,"Tyvar Kell",4
900199,"Vorinclex, Monstrous Raider",4
900200,"Aegar, the Freezing Flame",3
900201,"Arni Slays the Troll",3
900202,"Ascent of the Worthy",3
900203,"Battle for Bretagard",3.5
900204,"Battle of Frost and Fire",3
900205,"The Bears of Littjara",3.5
900206,"Binding the Old Gods",2.5
900207,"The Bloodsky Massacre",3.5
900208,"Fall of the Impostor",2.5
900209,"Firja, Judge of Valor",2
900210,"Firja's Retribution",3.5
900211,"Forging the Tyrite Sword",2.5
900212,"Harald, King of Skemfar",2.5
900213,"Harald Unites the Elves",3
