"id","name","rating"
75579,"Aerial Responder",3.5
75580,"Aeronaut Admiral",2.5
75581,"Aether Inspector",1.5
75582,"Aetherstorm Roc",4.5
75583,"Airdrop Aeronauts",3
75584,"Alley Evasion",1
75585,"Angel of Invention",4.5
75586,"Audacious Infiltrator",2
75587,"Authority of the Consuls",1
75588,"Aviary Mechanic",2
75589,"Built to Last",1
75590,"Cataclysmic Gearhulk",4
75591,"Conviction",0.5
75592,"Countless Gears Renegade",2
75593,"Dawnfeather Eagle",3
75594,"Eddytrail Hawk",2.5
75595,"Fairgrounds Warden",3.5
75596,"Fragmentize",1
75597,"Fumigate",3.5
75598,"Gearshift Ace",3
75599,"Glint-Sleeve Artisan",2.5
75600,"Herald of the Fair",1
75601,"Impeccable Timing",1.5
75602,"Inspired Charge",1
75603,"Master Trinketeer",4
75604,"Propeller Pioneer",3
75605,"Refurbish",0.5
75606,"Restoration Specialist",2
75607,"Revoke Privileges",3.5
75608,"Servo Exhibition",2.5
75609,"Skywhaler's Shot",3
75610,"Sram, Senior Edificer",3.5
75611,"Sram's Expertise",3.5
75612,"Thopter Arrest",3.5
75613,"Toolcraft Exemplar",3
75614,"Visionary Augmenter",3
75615,"Wispweaver Angel",3
75616,"Aether Meltdown",3
75617,"Aether Swooper",3
75618,"Aether Theorist",1.5
75619,"Aether Tradewinds",1.5
75620,"Baral, Chief of Compliance",2.5
75621,"Baral's Expertise",3.5
75622,"Ceremonious Rejection",0
75623,"Confiscation Coup",3.5
75624,"Disallow",2
75625,"Era of Innovation",2
75626,"Gearseeker Serpent",3
75627,"Glimmer of Genius",3
75628,"Glint-Nest Crane",2.5
75629,"Hinterland Drake",1.5
75630,"Ice Over",2
75631,"Illusionist's Stratagem",2
75632,"Leave in the Dust",2
75633,"Malfunction",3
75634,"Metallic Rebuke",1.5
75635,"Metallurgic Summonings",3
75636,"Minister of Inquiries",1.5
75637,"Nimble Innovator",1
75638,"Padeem, Consul of Innovation",3.5
75639,"Paradoxical Outcome",1
75640,"Revolutionary Rebuff",0.5
75641,"Select for Inspection",1.5
75642,"Shielded Aether Thief",2.5
75643,"Shipwreck Moray",1
75644,"Shrewd Negotiation",2.5
75645,"Skyship Plunderer",3
75646,"Tezzeret's Ambition",1
75647,"Thriving Turtle",1.5
75648,"Torrential Gearhulk",4.5
75649,"Trophy Mage",2
75650,"Weldfast Wingsmith",1
75651,"Whir of Invention",1
75652,"Wind-Kin Raiders",2.5
75653,"Aether Poisoner",3
75654,"Aetherborn Marauder",3
75655,"Alley Strangler",1
75656,"Daring Demolition",3.5
75657,"Defiant Salvager",1.5
75658,"Demon of Dark Schemes",4.5
75659,"Die Young",3
75660,"Embraal Bruiser",3
75661,"Essence Extraction",3.5
75662,"Fatal Push",3.5
75663,"Fen Hauler",1
75664,"Fortuitous Find",1.5
75665,"Foundry Hornet",2.5
