"id","name","rating"
386466,"Abzan Battle Priest",3
386468,"Abzan Falconer",3
386471,"Ainok Bond-Kin",3
386473,"Alabaster Kirin",2
386497,"Brave the Sands",0.5
386511,"Dazzling Ramparts",1.5
386515,"Defiant Strike",2.5
386532,"End Hostilities",3.5
386533,"Erase",0.5
386534,"Feat of Resistance",3
386536,"Firehoof Cavalry",1
386553,"Herald of Anafenza",3.5
386554,"High Sentinels of Arashin",4
386575,"Jeskai Student",2.5
386582,"Kill Shot",2.5
386594,"Mardu Hateblade",2
386596,"Mardu Hordechief",3
386600,"Master of Pearls",4
386642,"Rush of Battle",1.5
386645,"Sage-Eye Harrier",2
386648,"Salt Road Patrol",2.5
386660,"Seeker of the Way",3
386667,"Siegecraft",1
386669,"Smite the Monstrous",3
386682,"Suspension Field",3.5
386691,"Take Up Arms",2.5
386699,"Timely Hordemate",3
386713,"Venerable Lammasu",1.5
386715,"War Behemoth",2.5
386718,"Watcher of the Roost",3
386726,"Wingmate Roc",4.5
386490,"Blinding Spray",3
386502,"Cancel",2
386506,"Clever Impersonator",3.5
386510,"Crippling Chill",3
386518,"Dig Through Time",2
386519,"Disdainful Stroke",2.5
386524,"Dragon's Eye Savants",3
386530,"Embodiment of Spring",2.5
386539,"Force Away",3.5
386546,"Glacial Stalker",3
386563,"Icy Blast",3.5
386574,"Jeskai Elder",2
386576,"Jeskai Windscout",3
386581,"Kheru Spellsnatcher",3
386605,"Mistfire Weaver",3.5
386607,"Monastery Flock",3
386615,"Mystic of the Hidden Way",3
386621,"Pearl Lake Ancient",3.5
386629,"Quiet Contemplation",2
386638,"Riverwheel Aerialists",3.5
386653,"Scaldkin",3
386654,"Scion of Glaciers",3
386661,"Set Adrift",3.5
386668,"Singing Bell Strike",2
386673,"Stubborn Denial",0.5
386690,"Taigam's Scheming",1
386697,"Thousand Winds",4
386705,"Treasure Cruise",4.5
386719,"Waterwhirl",3.5
386720,"Weave Fate",2.5
386721,"Wetland Sambar",2
386722,"Whirlwind Adept",1.5
386488,"Bellowing Saddlebrute",3
386489,"Bitter Revelation",3
386494,"Bloodsoaked Champion",3
386512,"Dead Drop",2
386514,"Debilitating Injury",3
386517,"Despise",1
386521,"Disowned Ancestor",3
386528,"Dutiful Return",1.5
386531,"Empty the Pits",2
386548,"Grim Haruspex",3.5
386549,"Gurmag Swiftwing",1.5
386578,"Kheru Bloodsucker",1.5
