"id","name","rating"
466755,"Aerial Assault",3
466756,"Ajani, Strength of the Pride",4.5
466757,"Ancestral Blade",3
466758,"Angel of Vitality",3
466759,"Angelic Gift",1
466760,"Apostle of Purifying Light",2
466761,"Battalion Foot Soldier",1.5
466762,"Bishop of Wings",2
466763,"Brought Back",1
466764,"Cavalier of Dawn",3.5
466765,"Dawning Angel",3
466766,"Daybreak Chaplain",1
466767,"Devout Decree",1.5
466768,"Disenchant",0.5
466769,"Eternal Isolation",3
466770,"Fencing Ace",2
466771,"Gauntlets of Light",2
466772,"Glaring Aegis",1
466773,"Gods Willing",3
466774,"Griffin Protector",3
466775,"Griffin Sentinel",2
466776,"Hanged Executioner",4
466777,"Herald of the Sun",2.5
466778,"Inspired Charge",1.5
466779,"Inspiring Captain",1.5
466780,"Leyline of Sanctity",0
466781,"Loxodon Lifechanter",3.5
466782,"Loyal Pegasus",2
466783,"Master Splicer",3
466784,"Moment of Heroism",1.5
466785,"Moorland Inquisitor",2
466786,"Pacifism",3.5
466787,"Planar Cleansing",3
466788,"Raise the Alarm",2.5
466789,"Rule of Law",0
466790,"Sephara, Sky's Blade",4
466791,"Soulmender",0.5
466792,"Squad Captain",2
466793,"Starfield Mystic",1.5
466794,"Steadfast Sentry",2
466795,"Yoked Ox",0
466796,"Aether Gust",1.5
466797,"Agent of Treachery",4
466798,"Air Elemental",3.5
466799,"Anticipate",2
466800,"Atemsis, All-Seeing",3.5
466801,"Befuddle",1.5
466802,"Bone to Ash",2.5
466803,"Boreal Elemental",3.5
466804,"Brineborn Cutthroat",3
466805,"Captivating Gyre",2
466806,"Cavalier of Gales",4.5
466807,"Cerulean Drake",2.5
466808,"Cloudkin Seer",3.5
466809,"Convolute",1.5
466810,"Drawn from Dreams",3.5
466811,"Dungeon Geists",4
466812,"Faerie Miscreant",2
466813,"Flood of Tears",2
466814,"Fortress Crab",1
466815,"Frilled Sea Serpent",1
466816,"Frost Lynx",3.5
466817,"Hard Cover",1
466818,"Leyline of Anticipation",0.5
466819,"Masterful Replication",2
466820,"Metropolis Sprite",2.5
466821,"Moat Piranhas",1
466822,"Mu Yanling, Sky Dancer",4
466823,"Negate",1
466824,"Octoprophet",3
466825,"Portal of Sanctuary",1.5
466826,"Renowned Weaponsmith",2.5
466827,"Sage's Row Denizen",2
466828,"Scholar of the Ages",3
466829,"Sleep Paralysis",3.5
466830,"Spectral Sailor",3.5
466831,"Tale's End",1
466832,"Unsummon",3
466833,"Warden of Evos Isle",3.5
466834,"Winged Words",3
466835,"Yarok's Wavecrasher",3
466836,"Zephyr Charge",1
466837,"Agonizing Syphon",3
466838,"Audacious Thief",3.5
466839,"Barony Vampire",1
466840,"Bladebrand",2.5
466841,"Blightbeetle",2
466842,"Blood Burglar",2
466843,"Blood for Bones",3.5
466844,"Bloodsoaked Altar",3
466845,"Bloodthirsty Aerialist",3.5
466846,"Bone Splinters",3
466847,"Boneclad Necromancer",3
466848,"Cavalier of Night",4.5
466849,"Disfigure",3.5
466850,"Dread Presence",4
466851,"Duress",1
466852,"Embodiment of Agonies",3.5
466853,"Epicure of Blood",1.5
466854,"Fathom Fleet Cutthroat",2.5
466855,"Feral Abomination",1.5
466856,"Gorging Vulture",3
466857,"Gravedigger",3.5
466858,"Gruesome Scourger",3
466859,"Knight of the Ebon Legion",4
466860,"Legion's End",2.5
466861,"Leyline of the Void",0
466862,"Mind Rot",1
466863,"Murder",4
466864,"Noxious Grasp",2
466865,"Rotting Regisaur",3.5
466866,"Sanitarium Skeleton",3
466867,"Scheming Symmetry",0.5
466868,"Sorcerer of the Fang",2
466869,"Sorin, Imperious Bloodlord",3.5
466870,"Soul Salvage",3
466871,"Thought Distortion",0.5
466872,"Undead Servant",1.5
466873,"Unholy Indenture",1.5
466874,"Vampire of the Dire Moon",3
466875,"Vengeful Warchief",2.5
466876,"Vilis, Broker of Blood",3.5
466877,"Yarok's Fenlurker",3
466878,"Act of Treason",1.5
466879,"Cavalier of Flame",4
466880,"Chandra, Acolyte of Flame",4
466881,"Chandra, Awakened Inferno",4
466882,"Chandra, Novice Pyromancer",4
466883,"Chandra's Embercat",2.5
466884,"Chandra's Outrage",3.5
466885,"Chandra's Regulator",1.5
466886,"Chandra's Spitfire",3
466887,"Daggersail Aeronaut",2
466888,"Destructive Digger",2
466889,"Dragon Mage",1
466890,"Drakuseth, Maw of Flames",4
466891,"Ember Hauler",3
466892,"Fire Elemental",1.5
466893,"Flame Sweep",3
466894,"Fry",1.5
466895,"Glint-Horn Buccaneer",3
466896,"Goblin Bird-Grabber",1
466897,"Goblin Ringleader",1
466898,"Goblin Smuggler",3
466899,"Infuriate",1.5
466900,"Keldon Raider",2
466901,"Lavakin Brawler",3
466902,"Leyline of Combustion",1
466903,"Maniacal Rage",1
466904,"Marauding Raptor",3
466905,"Mask of Immolation",3
466906,"Pack Mastiff",2
466907,"Rapacious Dragon",3.5
466908,"Reckless Air Strike",1.5
466909,"Reduce to Ashes",3
466910,"Repeated Reverberation",0.5
