"id","name","rating"
370348,"Pallid Mycoderm",1
370349,"Kira, Great Glass-Spinner",3.5
370350,"Riftwing Cloudskate",3
370351,"Vivid Meadow",3
370352,"Thallid",1
370353,"Bridge from Below",2
370354,"Pact of Negation",3
370355,"Vivid Creek",3
370356,"Skyreach Manta",1
370357,"Warren Pilferers",1.5
370358,"Festering Goblin",1
370359,"Narcomoeba",0
370360,"Absorb Vis",0.5
370361,"Veteran Armorer",2
370362,"Tribal Flames",2.5
370363,"Skeletal Vampire",3.5
370364,"Tromp the Domains",2.5
370365,"Riftsweeper",0.5
370366,"Vedalken Shackles",4
370367,"Fiery Fall",1.5
370368,"Gifts Ungiven",3
370369,"Traumatic Visions",1
370370,"Auriok Salvagers",3.5
370371,"Gleam of Resistance",1
370372,"Sylvan Bounty",0
370373,"Cenn's Enlistment",1
370374,"Marsh Flitter",3
370375,"Tidehollow Sculler",3
370376,"Electrolyze",3
370377,"Blind-Spot Giant",1.5
370378,"Etherium Sculptor",2
370379,"Knight of the Reliquary",3.5
370380,"Spellstutter Sprite",2.5
370381,"Death Cloud",3
370382,"Latchkey Faerie",2
370383,"Phthisis",3
370384,"Extirpate",0
370385,"Meloku the Clouded Mirror",4
370386,"Hillcomber Giant",1
370387,"Doubling Season",3.5
370388,"Sudden Shock",3
370389,"Vivid Marsh",2.5
370390,"Vendilion Clique",4
370391,"Drag Down",1.5
370392,"Sandsower",1
370393,"Echoing Courage",0.5
370394,"Echoing Truth",2
370395,"Petals of Insight",1
370396,"Bound in Silence",3
370397,"Pyromancer's Swath",2
370398,"Life from the Loam",3
370399,"Thundercloud Shaman",3
370400,"Vivid Crag",2.5
370401,"Hammerheim Deadeye",1
370402,"Stingscourger",2
370403,"Vivid Grove",2.5
370404,"Tarmogoyf",4
370405,"Progenitus",4
370406,"Woodfall Primus",3.5
370407,"Blinkmoth Nexus",3.5
370408,"Path to Exile",3.5
370409,"Lava Spike",2
370410,"Faerie Macabre",1.5
370411,"Chalice of the Void",3
370412,"Reach of Branches",2.5
370413,"Dark Confidant",4
370414,"Kataki, War's Wage",3
370415,"Ivory Giant",1
370416,"Masked Admirers",3
370417,"Kodama's Reach",2.5
370418,"Grinning Ignus",2
370419,"Blood Moon",2.5
370420,"Grand Arbiter Augustin IV",3.5
370421,"Faerie Mechanist",2
370422,"Kithkin Greatheart",1.5
370423,"Plumeveil",3
370424,"Academy Ruins",3
370425,"Glimmervoid",3
370426,"Horobi's Whisper",3
370427,"Eternal Witness",3.5
370428,"Street Wraith",1
370429,"Oona, Queen of the Fae",4
370430,"Aethersnipe",2
370431,"Blinding Beam",1.5
370432,"Tooth and Nail",3.5
370433,"Giant Dustwasp",2
370434,"Frogmite",1.5
370435,"Etched Oracle",2
370436,"Myr Enforcer",1.5
370437,"Molten Disaster",3.5
370438,"Feudkiller's Verdict",3
370439,"Cryptic Command",4
370440,"Pestermite",3
370441,"Sporesower Thallid",3
370442,"Bonesplitter",3
370443,"Arcbound Stinger",1.5
370444,"Moldervine Cloak",1.5
370445,"Runed Stalactite",1
370446,"Crush Underfoot",0
370447,"Spell Snare",2
370448,"Paradise Mantle",2
370449,"Flickerwisp",3
370450,"Stinkweed Imp",1.5
370451,"Thieving Sprite",1.5
370452,"Thundering Giant",1
370453,"Take Possession",2.5
370454,"Brute Force",1
370455,"Sword of Light and Shadow",4.5
370456,"Dakmor Salvage",0
370457,"Slaughter Pact",3.5
370458,"Kitchen Finks",3.5
370459,"Terramorphic Expanse",2.5
370460,"Otherworldly Journey",1.5
370461,"Squee, Goblin Nabob",3
370462,"Executioner's Capsule",3
370463,"Demigod of Revenge",3.5
370464,"Pardic Dragon",3
370465,"Fury Charm",0.5
370466,"Figure of Destiny",3.5
370467,"Tar Pitcher",2.5
370468,"Rift Elemental",0.5
370469,"Rift Bolt",3
370470,"Rude Awakening",3
370471,"Sword of Fire and Ice",4.5
370472,"Grapeshot",1.5
370473,"Dreamspoiler Witches",1.5
370474,"Syphon Life",0
370475,"Hana Kami",0
370476,"Trygon Predator",3
370477,"Death Rattle",3
370478,"Raven's Crime",0.5
370479,"War-Spike Changeling",2
370480,"Empty the Warrens",1.5
370481,"Peppersmoke",1
370482,"Durkwood Baloth",2
370483,"Stinkdrinker Daredevil",1
370484,"Nantuko Shaman",1.5
370485,"Sanctum Gargoyle",2
370486,"Thallid Shell-Dweller",1.5
370487,"Perilous Research",1
370488,"Warren Weirding",1.5
370489,"Avian Changeling",2.5
370490,"City of Brass",3
370491,"Errant Ephemeron",3
370492,"Death Denied",0.5
370493,"Reveillark",3.5
370494,"Verdeloth the Ancient",3.5
370495,"Court Homunculus",1.5
370496,"Mad Auntie",3
370497,"Epochrasite",3
370498,"Esperzoa",3
370499,"Facevaulter",0
370500,"Thallid Germinator",1.5
370501,"Citanul Woodreaders",1
370502,"Kokusho, the Evening Star",4.5
370503,"Sporoloth Ancient",2
370504,"Ethersworn Canonist",3
370505,"Cold-Eyed Selkie",3
370506,"Reach Through Mists",1
370507,"Stir the Pride",1.5
370508,"Mothdust Changeling",1
370509,"Mind Funeral",2
370510,"Arcbound Ravager",3.5
370511,"Greater Mossdog",0.5
370512,"Pyrite Spellbomb",2.5
370513,"Meadowboon",3
370514,"Aether Vial",3.5
370515,"Stonehewer Giant",3.5
370516,"Penumbra Spider",2
370517,"Arcbound Worker",1.5
370518,"Murderous Redcap",3.5
370519,"Walker of the Grove",0
370520,"Myr Retriever",2
370521,"Maelstrom Pulse",3.5
370522,"Glen Elendra Archmage",3.5
370523,"Arcbound Wanderer",0
370524,"Aether Spellbomb",2.5
370525,"Thirst for Knowledge",3
370526,"Search for Tomorrow",2.5
370527,"Dispeller's Capsule",0.5
370528,"Lightning Helix",3.5
370529,"Logic Knot",1
370530,"Earwig Squad",3
370531,"Careful Consideration",3
370532,"Worm Harvest",1.5
370533,"Auntie's Snitch",1.5
370534,"Kiki-Jiki, Mirror Breaker",4.5
370535,"Mulldrifter",3.5
370536,"Saltfield Recluse",1.5
370537,"Dragonstorm",0
370538,"Dampen Thought",1
370539,"Tombstalker",3.5
370540,"Peer Through Depths",1
370541,"Incremental Growth",1.5
370542,"Keiga, the Tide Star",4.5
370543,"Adarkar Valkyrie",3.5
370544,"Countryside Crusher",3.5
370545,"Angel's Grace",0
370546,"Desperate Ritual",2.5
370547,"Mogg War Marshal",2
370548,"Jhoira of the Ghitu",3
370549,"Engineered Explosives",3.5
370550,"Vedalken Dismisser",1
370551,"Elspeth, Knight-Errant",4.5
370552,"Glacial Ray",3
370553,"Cloudgoat Ranger",3.5
370554,"Test of Faith",1
370555,"Terashi's Grasp",0
370556,"Relic of Progenitus",1.5
370557,"Krosan Grip",0
370558,"Torrent of Stone",2.5
370559,"Ryusei, the Falling Star",4
370560,"Greater Gargadon",3.5
370561,"Imperiosaur",2.5
370562,"Lotus Bloom",3.5
370563,"Summoner's Pact",3
370564,"Jugan, the Rising Star",4
370565,"Divinity of Pride",3.5
370566,"Sarkhan Vol",4
370567,"Blightspeaker",2
370568,"Manamorphose",3
370569,"Deepcavern Imp",1
370570,"Rathi Trapper",2.5
370571,"Amrou Scout",2
370572,"Scion of Oona",3.5
370573,"Shrapnel Blast",1.5
370574,"Yosei, the Morning Star",4
370575,"Erratic Mutation",1
370576,"Amrou Seekers",1.5
