"id","name","rating"
1484508,"Heliod, the Radiant Dawn // Heliod, the Warped Eclipse",3
1484539,"Faerie Mastermind",3.5
1484541,"Moment of Truth",0.5
1484546,"Jin-Gitaxias // The Great Synthesis",3.5
1484548,"Breach the Multiverse",3
1484549,"Chandra, Hope's Beacon",4.5
1484553,"Ghalta and Mavren",3.5
1484554,"Drana and Linvala",3.5
1484555,"Yargle and Multani",2
1484556,"Thalia and The Gitrog Monster",4
1484557,"Omnath, Locus of All",2.5
1484558,"Tranquil Cove",1
1484559,"Dismal Backwater",0
1484560,"Bloodfell Caves",1
1484561,"Rugged Highlands",1
1484562,"Blossoming Sands",1
1484563,"Scoured Barrens",0.5
1484564,"Swiftwater Cliffs",1
1484565,"Jungle Hollow",1.5
1484566,"Wind-Scarred Crag",0
1484567,"Thornwood Falls",1.5
1489897,"Wrenn and Realmbreaker",4
1490235,"Invasion of Zendikar // Awakened Skyclave",3
1490321,"Merciless Repurposing",2
1490325,"Halo Forager",3.5
1490330,"Invasion of Ergamon // Truga Cliffcharger",2.5
1490331,"Boon-Bringer Valkyrie",4.5
1490332,"Archpriest of Shadows",3.5
1490335,"Invasion of Ikoria // Zilortha, Apex of Ikoria",3.5
1490338,"Invasion of Fiora // Marchesa, Resolute Monarch",4
1490339,"Invasion of Ixalan // Belligerent Regisaur",3.5
1490340,"Invasion of New Phyrexia // Teferi Akosa of Zhalfir",3.5
1490383,"Transcendent Message",2
1490384,"Negate",0.5
1490386,"Elspeth's Smite",3
1490387,"Mirrodin Avenged",1
1490388,"Elesh Norn // The Argent Etchings",4
1490390,"Etali, Primal Conqueror // Etali, Primal Sickness",4.5
1490391,"Polukranos Reborn // Polukranos, Engine of Ruin",3.5
1490392,"Glissa, Herald of Predation",3.5
1490394,"Traumatic Revelation",1
1490395,"Realmbreaker, the Invasion Tree",0.5
1490396,"Alabaster Host Sanctifier",1
1490397,"Stoke the Flames",3
1490398,"Borborygmos and Fblthp",3.5
1490402,"Quintorius, Loremaster",3.5
1490404,"Sword of Once and Future",4
1490405,"Zurgo and Ojutai",4
1490406,"Seal from Existence",3.5
1490411,"Norn's Inquisitor",3
1490413,"Kami of Whispered Hopes",3
1490416,"Botanical Brawler",2.5
1490421,"Monastery Mentor",3.5
1490433,"Invasion of Ravnica // Guildpact Paragon",4
1490443,"Archangel Elspeth",5
1490445,"Scrappy Bruiser",1
1490455,"Forest",0
1490469,"Plains",0
1490470,"Swamp",0
1490473,"Island",0
1490476,"Mountain",0
1490487,"Guardian of Ghirapur",4
1490488,"Invasion of Dominaria // Serra Faithkeeper",2
1490489,"Zhalfirin Lancer",2.5
1490490,"Chrome Host Seedshark",4.5
1490491,"Grafted Butcher",3.5
1490492,"Into the Fire",3
1490493,"Invasion of Tarkir // Defiant Thundermaw",3.5
1490494,"Voldaren Thrillseeker",3
1490495,"Ravenous Sailback",2
1490496,"Streetwise Negotiator",3
1490497,"Baral and Kari Zev",3
1490498,"Invasion of Tolvada // The Broken Sky",4
