"id","name","rating"
500001,"Angel of Grace",4.5
500002,"Angelic Exaltation",3
500003,"Archway Angel",2.5
500004,"Arrester's Zeal",2
500005,"Bring to Trial",3
500006,"Civic Stalwart",2
500007,"Concordia Pegasus",1
500008,"Expose to Daylight",1
500009,"Forbidding Spirit",3
500010,"Haazda Officer",1.5
500011,"Hero of Precinct One",3.5
500012,"Impassioned Orator",1.5
500013,"Justiciar's Portal",1
500014,"Knight of Sorrows",1
500015,"Lumbering Battlement",3.5
500016,"Ministrant of Obligation",3
500017,"Prowling Caracal",0.5
500018,"Rally to Battle",1
500019,"Resolute Watchdog",1
500020,"Sentinel's Mark",3
500021,"Sky Tether",2.5
500022,"Smothering Tithe",1.5
500023,"Spirit of the Spires",3
500024,"Summary Judgment",3.5
500025,"Syndicate Messenger",2.5
500026,"Tenth District Veteran",1.5
500027,"Tithe Taker",3.5
500028,"Twilight Panther",1.5
500029,"Unbreakable Formation",3.5
500030,"Watchful Giant",1
500031,"Arrester's Admonition",2
500032,"Benthic Biomancer",3.5
500033,"Chillbringer",2
500034,"Clear the Mind",0
500035,"Code of Constraint",2
500036,"Coral Commando",0
500037,"Essence Capture",3
500038,"Eyes Everywhere",2
500039,"Faerie Duelist",2.5
500040,"Gateway Sneak",2.5
500041,"Humongulus",1.5
500042,"Mass Manipulation",3
500043,"Mesmerizing Benthid",4.5
500044,"Persistent Petitioners",1
500045,"Precognitive Perception",3.5
500046,"Prying Eyes",1.5
500047,"Pteramander",3
500048,"Quench",2.5
500049,"Sage's Row Savant",1.5
500050,"Senate Courier",2.5
500051,"Shimmer of Possibility",1.5
500052,"Skatewing Spy",3.5
500053,"Skitter Eel",2
500054,"Slimebind",2.5
500055,"Sphinx of Foresight",4
500056,"Swirling Torrent",2
500057,"Thought Collapse",1
500058,"Verity Circle",1.5
500059,"Wall of Lost Thoughts",0.5
500060,"Windstorm Drake",3.5
500061,"Awaken the Erstwhile",1.5
500062,"Bankrupt in Blood",1.5
500063,"Blade Juggler",2
500064,"Bladebrand",1.5
500065,"Bloodmist Infiltrator",1.5
500066,"Carrion Imp",1.5
500067,"Catacomb Crocodile",1
500068,"Clear the Stage",3
500069,"Consign to the Pit",3
500070,"Cry of the Carnarium",3
500071,"Dead Revels",1
500072,"Debtors' Transport",1.5
500073,"Drill Bit",2
500074,"Font of Agonies",1
500075,"Grotesque Demise",4
500076,"Gutterbones",3
500077,"Ill-Gotten Inheritance",1.5
500078,"Noxious Groodion",1.5
500079,"Orzhov Enforcer",3
500080,"Orzhov Racketeers",2
500081,"Pestilent Spirit",4
500082,"Plague Wight",1.5
500083,"Priest of Forgotten Gods",3
500084,"Rakdos Trumpeter",1.5
500085,"Spawn of Mayhem",4.5
500086,"Spire Mangler",2.5
500087,"Thirsting Shade",1
500088,"Undercity Scavenger",2.5
500089,"Undercity's Embrace",3
500090,"Vindictive Vampire",2
500091,"Act of Treason",1
500092,"Amplifire",2.5
