"id","name","rating"
950001,"Angelic Observer",2
950002,"Backup Agent",2
950003,"Ballroom Brawlers",3
950004,"Boon of Safety",1.5
950005,"Brokers Initiate",1
950006,"Buy Your Silence",2.5
950007,"Celebrity Fencer",2
950008,"Citizen's Crowbar",3
950009,"Dapper Shieldmate",1.5
950010,"Depopulate",4
950011,"Elspeth Resplendent",4.5
950012,"Extraction Specialist",3.5
950013,"Gathering Throng",1.5
950014,"Giada, Font of Hope",4
950015,"Halo Fountain",3.5
950016,"Hold for Ransom",2.5
950017,"Illuminator Virtuoso",3
950018,"Inspiring Overseer",3.5
950019,"Kill Shot",2.5
950020,"Knockout Blow",3
950021,"Mage's Attendant",3
950022,"Mysterious Limousine",3.5
950023,"Patch Up",1
950024,"Rabble Rousing",4
950025,"Raffine's Guidance",1
950026,"Raffine's Informant",2.5
950027,"Refuse to Yield",0.5
950028,"Revelation of Power",1
950029,"Rumor Gatherer",3
950030,"Sanctuary Warden",4.5
950031,"Sky Crier",1.5
950032,"Speakeasy Server",1.5
950033,"Swooping Protector",2.5
950034,"All-Seeing Arbiter",4
950035,"Backstreet Bruiser",1
950036,"Brokers Veteran",1.5
950037,"Case the Joint",1
950038,"Cut Your Losses",1
950039,"Disdainful Stroke",1
950040,"Echo Inspector",3
950041,"Errant, Street Artist",1
950042,"Even the Score",1.5
950043,"Expendable Lackey",1.5
950044,"Faerie Vandal",3
950045,"Hypnotic Grifter",2.5
950046,"Ledger Shredder",3.5
950047,"A Little Chat",2.5
950048,"Majestic Metamorphosis",1.5
950049,"Make Disappear",1
950050,"Obscura Initiate",2.5
950051,"An Offer You Can't Refuse",0
950052,"Out of the Way",3
950053,"Psionic Snoop",1.5
950054,"Psychic Pickpocket",3
950055,"Public Enemy",0
950056,"Reservoir Kraken",3.5
950057,"Rooftop Nuisance",2.5
950058,"Run Out of Town",1.5
950059,"Security Bypass",1
950060,"Sewer Crocodile",0.5
950061,"Sleep with the Fishes",3
950062,"Slip Out the Back",1.5
950063,"Undercover Operative",3.5
950064,"Wingshield Agent",3
950065,"Wiretapping",2.5
950066,"Witness Protection",2
950067,"Angel of Suffering",3.5
950068,"Body Launderer",3.5
950069,"Cemetery Tampering",0.5
950070,"Corrupt Court Official",2
950071,"Crooked Custodian",1
950072,"Cut of the Profits",1.5
950073,"Cutthroat Contender",0.5
950074,"Deal Gone Bad",3
950075,"Demon's Due",1.5
950076,"Dig Up the Body",1.5
950077,"Dusk Mangler",2
950078,"Extract the Truth",1
950079,"Fake Your Own Death",1
950080,"Girder Goons",2.5
950081,"Graveyard Shift",1.5
950082,"Grisly Sigil",2
950083,"Illicit Shipment",0
950084,"Incriminate",1
950085,"Join the Maestros",1
950086,"Maestros Initiate",2
950087,"Midnight Assassin",1.5
950088,"Murder",3.5
950089,"Night Clubber",3.5
950090,"Raffine's Silencer",3
950091,"Revel Ruiner",1.5
950092,"Rogues' Gallery",2.5
950093,"Sanguine Spy",3.5
950094,"Shadow of Mortality",1.5
950095,"Shakedown Heavy",4
950096,"Tavern Swindler",0.5
950097,"Tenacious Underdog",3.5
950098,"Vampire Scrivener",1.5
950099,"Whack",3
950100,"Antagonize",0
950101,"Arcane Bombardment",3
950102,"Big Score",1.5
950103,"Call In a Professional",3.5
950104,"Daring Escape",0.5
950105,"Devilish Valet",3
950106,"Exhibition Magician",3
950107,"Glittering Stockpile",1.5
950108,"Goldhound",1
950109,"Hoard Hauler",2
950110,"Involuntary Employment",1
950111,"Jackhammer",0
950112,"Jaxis, the Troublemaker",4
950113,"Light 'Em Up",3
950114,"Mayhem Patrol",1.5
950115,"Plasma Jockey",1.5
950116,"Professional Face-Breaker",4
950117,"Pugnacious Pugilist",3
950118,"Pyre-Sledge Arsonist",2
950119,"Ready to Rumble",2
950120,"Riveteers Initiate",1.5
950121,"Riveteers Requisitioner",3
950122,"Rob the Archives",1.5
950123,"Sizzling Soloist",2.5
950124,"Sticky Fingers",1
950125,"Strangle",3.5
950126,"Structural Assault",1
950127,"Torch Breath",3.5
950128,"Unlucky Witness",2
950129,"Urabrask, Heretic Praetor",4.5
950130,"Widespread Thieving",1
950131,"Witty Roastmaster",1.5
950132,"Wrecking Crew",2
950133,"Attended Socialite",1.5
950134,"Bootleggers' Stash",2
950135,"Bouncer's Beatdown",3.5
950136,"Broken Wings",0.5
950137,"Cabaretti Initiate",1
950138,"Caldaia Strongarm",2
950139,"Capenna Express",1
950140,"Civic Gardener",1
950141,"Cleanup Crew",3
950142,"Courier's Briefcase",2
950143,"Elegant Entourage",3.5
950144,"Evolving Door",1
950145,"Fight Rigging",3.5
950146,"For the Family",0.5
950147,"Freelance Muscle",3
950148,"Gala Greeters",4
950149,"Glittermonger",2
950150,"High-Rise Sawjack",1.5
950151,"Jewel Thief",3.5
950152,"Luxurious Libation",2
950153,"Most Wanted",0
950154,"Prizefight",3
950155,"Rhox Pummeler",2
950156,"Riveteers Decoy",2.5
950157,"Social Climber",1
950158,"Take to the Streets",1
950159,"Titan of Industry",4.5
950160,"Topiary Stomper",3
950161,"Venom Connoisseur",3
950162,"Vivien on the Hunt",4.5
950163,"Voice of the Vermin",3
950164,"Warm Welcome",1
950165,"Workshop Warchief",4.5
950166,"Aven Heartstabber",3
950167,"Black Market Tycoon",3.5
950168,"Body Dropper",3
950169,"Brazen Upstart",3
950170,"Brokers Ascendancy",5
950171,"Brokers Charm",3.5
950172,"Cabaretti Ascendancy",3
950173,"Cabaretti Charm",3
950174,"Celestial Regulator",3
950175,"Ceremonial Groundbreaker",3
950176,"Civil Servant",2.5
950177,"Cormela, Glamour Thief",3
950178,"Corpse Appraiser",3.5
950179,"Corpse Explosion",3.5
950180,"Crew Captain",2.5
950181,"Darling of the Masses",3.5
950182,"Disciplined Duelist",3.5
950183,"Endless Detour",3
950184,"Evelyn, the Covetous",4
950185,"Exotic Pets",3
950186,"Falco Spara, Pactweaver",4.5
950187,"Fatal Grudge",2
950188,"Fleetfoot Dancer",3.5
950189,"Forge Boss",3
950190,"Glamorous Outlaw",2.5
950191,"Hostile Takeover",3.5
950192,"Incandescent Aria",3
950193,"Jetmir, Nexus of Revels",4
950194,"Jetmir's Fixer",3
950195,"Jinnie Fay, Jetmir's Second",4
950196,"Lagrella, the Magpie",3.5
950197,"Lord Xander, the Collector",3.5
950198,"Maestros Ascendancy",3
950199,"Maestros Charm",3
950200,"Maestros Diabolist",3.5
950201,"Masked Bandits",2.5
950202,"Meeting of the Five",0
950203,"Metropolis Angel",3.5
950204,"Mr. Orfeo, the Boulder",3
950205,"Nimble Larcenist",3
950206,"Ob Nixilis, the Adversary",4.5
950207,"Obscura Ascendancy",1.5
950208,"Obscura Charm",3
950209,"Obscura Interceptor",3.5
950210,"Ognis, the Dragon's Lash",3.5
950211,"Park Heights Pegasus",3.5
950212,"Queza, Augur of Agonies",3.5
950213,"Raffine, Scheming Seer",4
950214,"Rakish Revelers",2.5
950215,"Rigo, Streetwise Mentor",3.5
