"id","name","rating"
800001,"Alseid of Life's Bounty",1.5
800002,"Archon of Falling Stars",2.5
800003,"Archon of Sun's Grace",4
800004,"Banishing Light",4
800005,"The Birth of Meletis",2
800006,"Captivating Unicorn",1.5
800007,"Commanding Presence",3
800008,"Dawn Evangel",2.5
800009,"Daxos, Blessed by the Sun",3
800010,"Daybreak Chimera",3
800011,"Dreadful Apathy",3
800012,"Eidolon of Obstruction",2
800013,"Elspeth Conquers Death",4
800014,"Elspeth, Sun's Nemesis",4
800015,"Favored of Iroas",3
800016,"Flicker of Fate",0.5
800017,"Glory Bearers",2.5
800018,"Heliod, Sun-Crowned",4
800019,"Heliod's Intervention",3
800020,"Heliod's Pilgrim",1.5
800021,"Heliod's Punishment",2
800022,"Hero of the Pride",2.5
800023,"Hero of the Winds",3
800024,"Idyllic Tutor",0
800025,"Indomitable Will",2
800026,"Karametra's Blessing",1
800027,"Lagonna-Band Storyteller",3
800028,"Leonin of the Lost Pride",1.5
800029,"Nyxborn Courser",2
800029,"Nyxborn Courser",2
800030,"Omen of the Sun",3
800031,"Phalanx Tactics",1.5
800032,"Pious Wayfarer",1
800033,"Reverent Hoplite",3
800034,"Revoke Existence",1
800035,"Rumbling Sentry",1
800036,"Sentinel's Eyes",1.5
800037,"Shatter the Sky",3.5
800038,"Sunmane Pegasus",1
800039,"Taranika, Akroan Veteran",3.5
800040,"Transcendent Envoy",1
800041,"Triumphant Surge",2
800042,"Alirios, Enraptured",3
800043,"Ashiok's Erasure",0
800044,"Brine Giant",1.5
800045,"Callaphe, Beloved of the Sea",3.5
800046,"Chain to Memory",0.5
800047,"Deny the Divine",1
800049,"Elite Instructor",1.5
800050,"Glimpse of Freedom",1.5
800051,"Ichthyomorphosis",1.5
800052,"Kiora Bests the Sea God",4.5
800053,"Medomai's Prophecy",3
800054,"Memory Drain",0
800055,"Nadir Kraken",4
800056,"Naiad of Hidden Coves",2
800057,"Nyxborn Seaguard",1
800058,"Omen of the Sea",2.5
800059,"One with the Stars",2
800060,"Protean Thaumaturge",3
800061,"Riptide Turtle",0
800062,"Sage of Mysteries",1.5
800063,"Sea God's Scorn",3
800064,"Shimmerwing Chimera",3
800065,"Shoal Kraken",2.5
800066,"Sleep of the Dead",0
800067,"Starlit Mantle",1
800068,"Stern Dismissal",3
800069,"Stinging Lionfish",2.5
800070,"Sweet Oblivion",0
800071,"Thassa, Deep-Dwelling",4
800072,"Thassa's Intervention",3.5
800073,"Thassa's Oracle",2
800074,"Thirst for Meaning",1.5
800075,"Threnody Singer",3
800076,"Thryx, the Sudden Storm",3.5
800077,"Towering-Wave Mystic",1
800078,"Triton Waverider",1
800079,"Vexing Gull",2
800080,"Wavebreak Hippocamp",3
800081,"Whirlwind Denial",1
800082,"Witness of Tomorrows",3
800083,"Agonizing Remorse",2
800084,"Aphemia, the Cacophony",3.5
800085,"Aspect of Lamprey",1
800086,"Blight-Breath Catoblepas",2
800087,"Cling to Dust",1.5
800088,"Discordant Piper",1
800089,"Drag to the Underworld",3.5
800090,"Eat to Extinction",4
800091,"Elspeth's Nightmare",3
800092,"Enemy of Enlightenment",3
800093,"Erebos, Bleak-Hearted",4.5
800094,"Erebos's Intervention",4
800095,"Final Death",3.5
800096,"Fruit of Tizerus",0
800097,"Funeral Rites",2
800098,"Gravebreaker Lamia",3.5
800099,"Gray Merchant of Asphodel",3
800100,"Grim Physician",1
800101,"Hateful Eidolon",1.5
800102,"Inevitable End",3
800103,"Lampad of Death's Vigil",1.5
800104,"Minion's Return",0.5
800105,"Mire Triton",3.5
800106,"Mire's Grasp",3.5
800107,"Mogis's Favor",1
800108,"Nightmare Shepherd",4
800109,"Nyxborn Marauder",2
800110,"Omen of the Dead",2.5
800111,"Pharika's Libation",1.5
800112,"Pharika's Spawn",3
800113,"Rage-Scarred Berserker",1.5
800114,"Scavenging Harpy",1.5
800115,"Soulreaper of Mogis",1.5
800116,"Temple Thief",0.5
800117,"Treacherous Blessing",3
800118,"Tymaret Calls the Dead",3.5
800119,"Tymaret, Chosen from Death",3
800120,"Underworld Charger",1.5
800121,"Underworld Dreams",2.5
800122,"Venomous Hierophant",1.5
800123,"Woe Strider",3.5
800124,"The Akroan War",3.5
800125,"Anax, Hardened in the Forge",3.5
800126,"Arena Trickster",1.5
800127,"Aspect of Manticore",1.5
800128,"Blood Aspirant",3
800129,"Careless Celebrant",3
800130,"Dreamshaper Shaman",2.5
800131,"Dreamstalker Manticore",3
800132,"Escape Velocity",2
800133,"Fateful End",3.5
800134,"Final Flare",1.5
800135,"Flummoxed Cyclops",2.5
800136,"Furious Rise",2.5
800137,"Hero of the Games",2
800138,"Heroes of the Revel",3
800139,"Impending Doom",2.5
800140,"Incendiary Oracle",1.5
800141,"Infuriate",1
800142,"Iroas's Blessing",3
800143,"Irreverent Revelers",1
800144,"Nyxborn Brute",1
800145,"Omen of the Forge",3.5
800146,"Oread of Mountain's Blaze",1.5
800147,"Ox of Agonas",3.5
800148,"Phoenix of Ash",4
800149,"Portent of Betrayal",0
800150,"Purphoros, Bronze-Blooded",4
800151,"Purphoros's Intervention",3.5
800152,"Satyr's Cunning",1
800153,"Skophos Maze-Warden",2.5
800154,"Skophos Warleader",2
800155,"Stampede Rider",1.5
800156,"Storm Herald",3.5
800157,"Storm's Wrath",3.5
800158,"Tectonic Giant",4
800159,"Thrill of Possibility",1
800160,"The Triumph of Anax",1
800161,"Underworld Breach",0
800162,"Underworld Fires",0
800163,"Underworld Rage-Hound",1.5
800164,"Wrap in Flames",1
800165,"Arasta of the Endless Web",3.5
800166,"The Binding of the Titans",2.5
800167,"Chainweb Aracnir",0.5
800168,"Destiny Spinner",3
800169,"Dryad of the Ilysian Grove",3.5
800170,"The First Iroan Games",3.5
800171,"Gift of Strength",0.5
800172,"Hydra's Growth",2.5
800173,"Hyrax Tower Scout",3
800174,"Ilysian Caryatid",3
800175,"Inspire Awe",0.5
800176,"Klothys's Design",1.5
800177,"Loathsome Chimera",3
800178,"Mantle of the Wolf",3.5
800179,"Moss Viper",2
800180,"Mystic Repeal",1
800181,"Nessian Boar",3.5
800182,"Nessian Hornbeetle",2.5
800183,"Nessian Wanderer",3
800184,"Nexus Wardens",1.5
800185,"Nylea, Keen-Eyed",4.5
800186,"Nylea's Forerunner",2
800187,"Nylea's Huntmaster",2.5
800188,"Nylea's Intervention",0
800189,"Nyx Herald",3
800190,"Nyxbloom Ancient",1
800191,"Nyxborn Colossus",0.5
800192,"Omen of the Hunt",2
800193,"Pheres-Band Brawler",3.5
800194,"Plummet",0
800195,"Relentless Pursuit",2.5
800196,"Renata, Called to the Hunt",3.5
800197,"Return to Nature",1.5
800198,"Setessan Champion",3.5
800199,"Setessan Petitioner",2.5
800200,"Setessan Skirmisher",1
800201,"Setessan Training",1
800202,"Skola Grovedancer",2.5
800203,"Voracious Typhon",3
800204,"Warbriar Blessing",3
800205,"Wolfwillow Haven",3
800206,"Acolyte of Affliction",3
800207,"Allure of the Unknown",1
800208,"Ashiok, Nightmare Muse",4.5
800209,"Atris, Oracle of Half-Truths",3.5
800210,"Bronzehide Lion",3.5
800211,"Calix, Destiny's Hand",3.5
800212,"Dalakos, Crafter of Wonders",3
800213,"Devourer of Memory",3
800214,"Dream Trawler",4.5
800215,"Enigmatic Incarnation",1.5
800216,"Eutropia the Twice-Favored",3
800217,"Gallia of the Endless Dance",3.5
800218,"Haktos the Unscarred",3.5
800219,"Hero of the Nyxborn",3.5
800220,"Klothys, God of Destiny",3.5
800221,"Kroxa, Titan of Death's Hunger",4
800222,"Kunoros, Hound of Athreos",3.5
800223,"Mischievous Chimera",3
800224,"Polukranos, Unchained",4.5
800225,"Rise to Glory",2.5
800226,"Siona, Captain of the Pyleas",3
800227,"Slaughter-Priest of Mogis",3
800228,"Staggering Insight",3
800229,"Uro, Titan of Nature's Wrath",4.5
800230,"Warden of the Chained",3
800231,"Altar of the Pantheon",1.5
800232,"Bronze Sword",1
800233,"Entrancing Lyre",3
800234,"Mirror Shield",0.5
800235,"Nyx Lotus",0
800236,"Shadowspear",3.5
800237,"Soul-Guide Lantern",1.5
800238,"Thaumaturge's Familiar",1
800239,"Thundering Chariot",3
800240,"Traveler's Amulet",2
800241,"Wings of Hubris",1
800242,"Field of Ruin",0
800243,"Labyrinth of Skophos",3
800244,"Temple of Abandon",2
800245,"Temple of Deceit",2
800246,"Temple of Enlightenment",2
800247,"Temple of Malice",2
800248,"Temple of Plenty",2
800249,"Unknown Shores",0.5
