"id","name","rating"
439390,"Adorable Kitten",2
439391,"Aerial Toastmaster",2
439392,"Amateur Auteur",0.5
439393,"By Gnome Means",3
439394,"Chivalrous Chevalier",1.5
439395,"Do-It-Yourself Seraph",4
439396,"Gimme Five",0.5
439397,"GO TO JAIL",3.5
439398,"Half-Kitten, Half-",2
439399,"Humming-",3
439400,"Jackknight",3.5
439401,"Knight of the Kitchen Sink",3
439402,"Knight of the Widget",1.5
439403,"Midlife Upgrade",0
439404,"Oddly Uneven",3.5
439405,"Old Guard",2.5
439406,"Ordinary Pony",3
439407,"Rhino-",1.5
439408,"Riveting Rigger",2.5
439409,"Rules Lawyer",4
439410,"Sacrifice Play",2
439411,"Shaggy Camel",2
439412,"Side Quest",1
439413,"Success!",1.5
439414,"Teacher's Pet",3
439415,"Animate Library",3.5
439416,"Blurry Beeble",2.5
439417,"Chipper Chopper",2.5
439418,"Clocknapper",4.5
439419,"Crafty Octopus",3
439420,"Crow Storm",3.5
439421,"Defective Detective",2
439422,"Five-Finger Discount",3.5
439423,"Graveyard Busybody",3
439424,"Half-Shark, Half-",2
439425,"Incite Insight",3
439426,"Kindly Cognician",2.5
439427,"Magic Word",3.5
439428,"Mer Man",2.5
439429,"More or Less",1.5
439430,"Novellamental",3
439431,"Numbing Jellyfish",1
439432,"S.N.E.A.K. Dispatcher",3
439433,"Socketed Sprocketer",2
439434,"Spell Suck",2.5
439435,"Spy Eye",3
439436,"Suspicious Nanny",3
439437,"Time Out",3
439439,"Wall of Fortune",1.5
439440,"Big Boa Constrictor",2
439441,"capital offense",3.5
439442,"Dirty Rat",1.5
439443,"Extremely Slow Zombie",1.5
439444,"Finders, Keepers",3.5
439445,"Hangman",3
439446,"Hazmat Suit (Used)",1
439447,"Hoisted Hireling",2.5
439448,"Inhumaniac",3
439449,"Masterful Ninja",3.5
439450,"Ninja",1.5
439451,"Old-Fashioned Vampire",3.5
439452,"Over My Dead Bodies",3
439453,"Overt Operative",3
439454,"""Rumors of My Death . . .""",1
439455,"Skull Saucer",3
439457,"Snickering Squirrel",2
439458,"Spike, Tournament Grinder",4
439459,"Squirrel-Powered Scheme",3
439460,"Steady-Handed Mook",3
439461,"Stinging Scorpion",1
439462,"Subcontract",1.5
439463,"Summon the Pack",3.5
439464,"Zombified",1.5
439465,"The Big Idea",4
