"id","name","rating"
1252821,"Voldaren Estate",1
1252822,"Olivia, Crimson Bride",3.5
1252833,"Overcharged Amalgam",3.5
1252842,"Voldaren Bloodcaster // Bloodbat Summoner",4
1252847,"Savior of Ollenbock",4
1252850,"Sorin the Mirthless",4.5
1252851,"Dorothea, Vengeful Victim // Dorothea's Retribution",3.5
1252853,"Stormcarved Coast",1
1252854,"Shattered Sanctum",1
1252855,"Dreamroot Cascade",0.5
1252856,"Deathcap Glade",1.5
1252857,"Sundown Pass",1
1252858,"Dig Up",2
1252859,"Thalia, Guardian of Thraben",2
1252860,"Gryff Rider",2.5
1252861,"Apprentice Sharpshooter",1.5
1252862,"Gluttonous Guest",1
1252863,"Weary Prisoner // Wrathful Jailbreaker",1
1252864,"Rot-Tide Gargantua",2.5
1252880,"Drogskol Infantry // Drogskol Armaments",3
1252882,"Fell Stinger",3.5
1252885,"Massive Might",0.5
1252886,"By Invitation Only",4
1252887,"Demonic Bargain",0
1252890,"Anje, Maid of Dishonor",3.5
1252918,"Chandra, Dressed to Kill",3
1252943,"Sigarda's Summons",2.5
1252944,"Geistlight Snare",1
1252945,"Change of Fortune",0.5
1252947,"Volatile Arsonist // Dire-Strain Anarchist",4
1252948,"Dominating Vampire",3.5
1252950,"Manaform Hellkite",4
1252951,"Grolnok, the Omnivore",2.5
1252953,"Dread Fugue",1
1252954,"Torens, Fist of the Angels",3.5
1252957,"Skulking Killer",0
1252958,"Wedding Invitation",0.5
1252959,"Wedding Announcement // Wedding Festivity",3.5
1252960,"Alchemist's Gambit",1
1252964,"Runo Stromkirk // Krothuss, Lord of the Deep",3.5
1252967,"Vampires' Vengeance",2
1252968,"Dawnhart Geist",1
1252969,"Path of Peril",3.5
1253009,"Hallowed Haunting",2.5
1253017,"Archghoul of Thraben",3.5
1253022,"Halana and Alena, Partners",4
1253024,"Dormant Grove // Gnarled Grovestrider",3
1253025,"Mindleech Ghoul",2
1253026,"Geralf, Visionary Stitcher",3.5
1253028,"Kindly Ancestor // Ancestor's Embrace",2.5
1253029,"Biolume Egg // Biolume Serpent",2.5
1253030,"Investigator's Journal",2.5
1253033,"Rending Flame",4
1253034,"Innocent Traveler // Malicious Invader",3
1253035,"Cemetery Protector",4
1253037,"Valorous Stance",3.5
1253038,"Packsong Pup",3
1253040,"Kessig Wolfrider",3
1253042,"Angelic Quartermaster",3.5
1253043,"Lunar Rejection",2.5
1253044,"Vilespawn Spider",3
1253045,"Dreadfeast Demon",3.5
1253046,"Fearful Villager // Fearsome Werewolf",1
1253047,"Toxrill, the Corrosive",4
1253049,"Brine Comber // Brinebound Gift",3
1253051,"Groom's Finery",1
1253052,"Diver Skaab",3
1253054,"Bloodsworn Squire // Bloodsworn Knight",3
1253057,"Necroduality",3
1253061,"Lantern Flare",3.5
1253062,"Curse of Hospitality",2.5
1253063,"Abrade",3.5
1253064,"Wedding Security",3.5
1253065,"Laid to Rest",2
1253066,"Retrieve",1.5
1253067,"Cloaked Cadet",3
1253068,"Falkenrath Forebear",3.5
1253082,"Ulvenwald Oddity // Ulvenwald Behemoth",5
1253083,"Concealing Curtains // Revealing Eye",3.5
1253084,"Gutter Skulker // Gutter Shortcut",3
1253085,"Lantern Bearer // Lanterns' Lift",3
1253088,"Soulcipher Board // Cipherbound Spirit",1.5
1253095,"Radiant Grace // Radiant Restraints",1.5
1253133,"Cemetery Prowler",4
1253134,"Consuming Tide",2
1253135,"Undead Butler",2.5
1253148,"Voice of the Blessed",3
1253151,"Whispering Wizard",3.5
1253153,"Witness the Future",1.5
1253169,"Cultivator Colossus",3.5
1253173,"Frenzied Devils",1
1253178,"Sigardian Paladin",3
1253227,"Inspired Idea",2.5
1253230,"Ascendant Packleader",3.5
1253231,"Sigarda's Imprisonment",3
1253239,"Distracting Geist // Clever Distraction",3
1253242,"Hamlet Vanguard",3.5
1253422,"Forest",0
1253423,"Island",0
1253424,"Mountain",0
1253425,"Plains",0
1253426,"Swamp",0
1253437,"Henrika Domnathi // Henrika, Infernal Seer",4.5
1253440,"Stensia Uprising",3
1253442,"Arm the Cathars",3
1253443,"Resistance Squad",3
1253444,"Ollenbock Escort",1.5
1253445,"Sanctify",0
1253446,"Patchwork Crawler",2
1253448,"Syncopate",1.5
1253458,"Headless Rider",3.5
1253459,"Bloodvial Purveyor",4
1253461,"Weaver of Blossoms // Blossom-Clad Werewolf",3
1253462,"Thirst for Discovery",3
1253463,"Dollhouse of Horrors",3
1253464,"Honored Heirloom",1
1253466,"Mischievous Catgeist // Catlike Curiosity",3
1253467,"Parasitic Grasp",3.5
1253468,"Wandering Mind",2.5
1253469,"Howlpack Piper // Wildsong Howler",3.5
1253470,"Glorious Sunrise",3.5
1253472,"Edgar's Awakening",2
1253480,"Markov Retribution",2
1253481,"Honeymoon Hearse",2.5
1253482,"Magma Pummeler",3
1253483,"Screaming Swarm",3
1253484,"Mirrorhall Mimic // Ghastly Mimicry",4
1253486,"Old Rutstein",3.5
1253488,"Graf Reaver",2.5
1253490,"Spiked Ripsaw",2.5
1253491,"Markov Purifier",2.5
1253493,"Blood Hypnotist",2
