"id","name","rating"
600001,"Karn, the Great Creator",1.5
600002,"Ugin, the Ineffable",4.5
600003,"Ugin's Conjurant",2.5
600004,"Ajani's Pridemate",2.5
600005,"Battlefield Promotion",1.5
600006,"Bond of Discipline",2.5
600007,"Bulwark Giant",1
600008,"Charmed Stray",0.5
600009,"Defiant Strike",1
600010,"Divine Arrow",3
600011,"Enforcer Griffin",1.5
600012,"Finale of Glory",4
600013,"Gideon Blackblade",4.5
600014,"Gideon's Sacrifice",1
600015,"Gideon's Triumph",3
600016,"God-Eternal Oketra",5
600017,"Grateful Apparition",3
600018,"Ignite the Beacon",2
600019,"Ironclad Krovod",1
600020,"Law-Rune Enforcer",3
600021,"Loxodon Sergeant",1.5
600022,"Makeshift Battalion",1.5
600023,"Martyr for the Cause",2.5
600024,"Parhelion II",2
600025,"Pouncing Lynx",1
600026,"Prison Realm",4
600027,"Rally of Wings",1
600028,"Ravnica at War",1
600029,"Rising Populace",1.5
600030,"Single Combat",2.5
600031,"Sunblade Angel",3
600032,"Teyo, the Shieldmage",1
600033,"Teyo's Lightshield",1
600034,"Tomik, Distinguished Advokist",3
600035,"Topple the Statue",1
600036,"Trusted Pegasus",3
600037,"The Wanderer",3
600038,"Wanderer's Strike",3
600039,"War Screecher",2
600040,"Ashiok's Skulker",2
600041,"Augur of Bolas",2
600042,"Aven Eternal",3
600043,"Bond of Insight",1.5
600044,"Callous Dismissal",2
600045,"Commence the Endgame",3.5
600046,"Contentious Plan",1.5
600047,"Crush Dissent",1
600048,"Erratic Visionary",2.5
600049,"Eternal Skylord",3.5
600050,"Fblthp, the Lost",3
600051,"Finale of Revelation",4
600052,"Flux Channeler",3
600053,"God-Eternal Kefnet",4.5
600054,"Jace, Wielder of Mysteries",3
600055,"Jace's Triumph",2.5
600056,"Kasmina, Enigmatic Mentor",3.5
600057,"Kasmina's Transmutation",3
600058,"Kiora's Dambreaker",1.5
600059,"Lazotep Plating",1.5
600060,"Naga Eternal",0
600061,"Narset, Parter of Veils",2.5
600062,"Narset's Reversal",3
600063,"No Escape",1.5
600064,"Relentless Advance",1.5
600065,"Rescuer Sphinx",3.5
600066,"Silent Submersible",2
600067,"Sky Theater Strix",1
600068,"Spark Double",3.5
600069,"Spellkeeper Weird",2
600070,"Stealth Mission",1
600071,"Tamiyo's Epiphany",3
600072,"Teferi's Time Twist",1.5
600073,"Thunder Drake",2.5
600074,"Totally Lost",1.5
600075,"Wall of Runes",1
600076,"Aid the Fallen",2
600077,"Banehound",0
600078,"Bleeding Edge",3.5
600079,"Bolas's Citadel",3
600080,"Bond of Revival",3
600081,"Charity Extractor",1
600082,"Command the Dreadhorde",3
600083,"Davriel, Rogue Shadowmage",2.5
600084,"Davriel's Shadowfugue",0
600085,"Deliver Unto Evil",2
600086,"Dreadhorde Invasion",3.5
600087,"Dreadmalkin",1.5
600088,"Duskmantle Operative",1
600089,"The Elderspell",3
600090,"Eternal Taskmaster",3
600091,"Finale of Eternity",4
600092,"God-Eternal Bontu",4.5
600093,"Herald of the Dreadhorde",2.5
600094,"Kaya's Ghostform",1
600095,"Lazotep Behemoth",0.5
600096,"Lazotep Reaver",2.5
600097,"Liliana, Dreadhorde General",4.5
600098,"Liliana's Triumph",2
600099,"Massacre Girl",4
600100,"Ob Nixilis, the Hate-Twisted",3
600101,"Ob Nixilis's Cruelty",3.5
600102,"Price of Betrayal",1.5
600103,"Shriekdiver",1.5
600104,"Sorin's Thirst",2.5
600105,"Spark Harvest",3.5
600106,"Spark Reaper",2
600107,"Tithebearer Giant",3
600108,"Toll of the Invasion",1
600109,"Unlikely Aid",1.5
600110,"Vampire Opportunist",1.5
600111,"Vizier of the Scorpion",3
600112,"Vraska's Finisher",2
600113,"Ahn-Crop Invader",2
600114,"Blindblast",1
600115,"Bolt Bend",1
600116,"Bond of Passion",1
600117,"Burning Prophet",2
600118,"Chainwhip Cyclops",1.5
600119,"Chandra, Fire Artisan",3.5
600120,"Chandra's Pyrohelix",3
600121,"Chandra's Triumph",3.5
600122,"Cyclops Electromancer",3
600123,"Demolish",0
600124,"Devouring Hellion",1.5
600125,"Dreadhorde Arcanist",3
600126,"Dreadhorde Twins",3
600127,"Finale of Promise",3
600128,"Goblin Assailant",0
600129,"Goblin Assault Team",0.5
600130,"Grim Initiate",1
600131,"Heartfire",2.5
600132,"Honor the God-Pharaoh",1.5
600133,"Ilharg, the Raze-Boar",4.5
600134,"Invading Manticore",1.5
600135,"Jaya, Venerated Firemage",3
600136,"Jaya's Greeting",3.5
600137,"Krenko, Tin Street Kingpin",3.5
600138,"Mizzium Tank",3
600139,"Nahiri's Stoneblades",0.5
600140,"Neheb, Dreadhorde Champion",4
600141,"Raging Kronch",2
600142,"Samut's Sprint",0
600143,"Sarkhan the Masterless",4
600144,"Sarkhan's Catharsis",1.5
600145,"Spellgorger Weird",2.5
600146,"Tibalt, Rakish Instigator",2
600147,"Tibalt's Rager",2
