"id","name","rating"
1509483,"Restless Fortress",3
1509484,"Sleight of Hand",1
1509485,"Moonshaker Cavalry",3.5
1509486,"Talion, the Kindly Lord",4
1509487,"Tough Cookie",3
1509488,"Cruel Somnophage // Can't Wake Up",3
1509489,"Ashiok, Wicked Manipulator",4.5
1512158,"Agatha of the Vile Cauldron",1.5
1512159,"Ash, Party Crasher",3
1512160,"Beseech the Mirror",1.5
1512163,"Besotted Knight // Betroth the Beast",2
1512164,"Break the Spell",0.5
1512167,"Cursed Courtier",1
1512172,"Decadent Dragon // Expensive Taste",4
1512174,"Embereth Veteran",2
1512178,"Eriette of the Charmed Apple",3.5
1512184,"Faunsbane Troll",4
1512186,"Frolicking Familiar // Blow Off Steam",3
1512190,"Glass Casket",3
1512192,"Greta, Sweettooth Scourge",3.5
1512193,"Hylda of the Icy Crown",4
1512194,"Johann, Apprentice Sorcerer",2
1512199,"Kellan, the Fae-Blooded // Birthright Boon",3.5
1512200,"Knight of Doves",2.5
1512201,"Living Lectern",1
1512202,"Neva, Stalked by Nightmares",3
1512204,"Obyra, Dreaming Duelist",3
1512205,"Restless Cottage",3
1512208,"Rowan, Scion of War",2
1512210,"Rowan's Grim Search",1
1512212,"Ruby, Daring Tracker",3
1512214,"Sharae of Numbing Depths",3
1512216,"Sweettooth Witch",2.5
1512218,"Syr Armont, the Redeemer",3
1512220,"Syr Ginger, the Meal Ender",3.5
1512222,"The Goose Mother",4.5
1512223,"Three Blind Mice",3
1512225,"Torch the Tower",3.5
1512227,"Totentanz, Swarm Piper",3.5
1512232,"Troyan, Gutsy Explorer",3.5
1512235,"Twisted Fealty",1.5
1512236,"Virtue of Knowledge // Vantress Visions",2
1512237,"Will, Scion of Peace",3
1512298,"Expel the Interlopers",3.5
1512310,"Troublemaker Ouphe",2
1512314,"Gallant Pie-Wielder",2.5
1512318,"Stroke of Midnight",3
1512321,"Blossoming Tortoise",2.5
1512332,"Beanstalk Wurm // Plant Beans",1.5
1512338,"Beluna Grandsquall // Seek Thrills",3
1512342,"Conceited Witch // Price of Beauty",2
1512346,"Faerie Dreamthief",3
1512350,"Lich-Knights' Conquest",3
1512351,"Return from the Wilds",3
1512352,"Rootrider Faun",3
1512353,"Tanglespan Lookout",3
1512354,"Thunderous Debut",1
1512377,"Elvish Archivist",3.5
1512381,"Evolving Wilds",1.5
1512382,"Rat Out",1.5
1512383,"Warehouse Tabby",2.5
1512384,"Ratcatcher Trainee // Pest Problem",3
1512385,"Lord Skitter's Blessing",3.5
1512386,"Realm-Scorcher Hellkite",4
1512400,"Skybeast Tracker",0.5
1512401,"The Huntsman's Redemption",4
1512417,"Farsight Ritual",2.5
1512423,"The End",3.5
1512509,"Specter of Mortality",4
1512510,"Agatha's Soul Cauldron",3
1512511,"Lord Skitter's Butcher",3.5
1512518,"Johann's Stopgap",2
1512528,"Scalding Viper // Steam Clean",3
1512529,"Monstrous Rage",1.5
1512530,"Edgewall Inn",2
1512531,"Ice Out",1
1512569,"Callous Sell-Sword // Burn Together",3
1512570,"Stonesplitter Bolt",3.5
1512582,"Howling Galefang",3
1512598,"Spellbook Vendor",3.5
1512601,"Virtue of Loyalty // Ardenvale Fealty",4.5
1512602,"Extraordinary Journey",3
1512605,"Talion's Messenger",4
1512610,"Virtue of Persistence // Locthwain Scorn",5
1512617,"The Apprentice's Folly",2.5
1512634,"Agatha's Champion",3.5
1512635,"Discerning Financier",3
1512636,"Redcap Gutter-Dweller",3.5
1512638,"Gadwick's First Duel",1.5
1512639,"Bitter Chill",3
1512640,"Lord Skitter, Sewer King",4.5
1512641,"Return Triumphant",2
1512642,"Not Dead After All",0.5
1512644,"Likeness Looter",3.5
1512647,"Icewrought Sentry",2.5
1512648,"Three Bowls of Porridge",2
1512649,"Flick a Coin",1
1512650,"Taken by Nightmares",4
1512652,"Dutiful Griffin",2
1512653,"Cut In",3
1512654,"Picnic Ruiner // Stolen Goodies",3.5
1512655,"Korvold and the Noble Thief",1
1512656,"Night of the Sweets' Revenge",2
1512658,"Two-Headed Hunter // Twice the Rage",3
1512675,"The Princess Takes Flight",1.5
1512676,"Werefox Bodyguard",4.5
1512679,"Asinine Antics",3.5
1512682,"Chancellor of Tales",2.5
1512684,"Ingenious Prodigy",3.5
1512687,"Into the Fae Court",1.5
1512695,"Ashiok's Reaper",3
1512698,"Back for Seconds",2.5
1512702,"Ego Drain",0.5
1512703,"Hopeless Nightmare",2
1512706,"Spiteful Hexmage",2.5
1512711,"Imodane, the Pyrohammer",3.5
1512713,"Tattered Ratter",3
1512714,"Bramble Familiar // Fetch Quest",3.5
1512716,"Brave the Wilds",2
1512718,"Shrouded Shepherd // Cleave Shadows",3
1512720,"Threadbind Clique // Rip the Seams",3.5
1512722,"Soul-Guide Lantern",0
1512823,"Royal Treatment",2.5
1512863,"Belligerent of the Ball",2.5
1512864,"Galvanic Giant // Storm Reading",1.5
1512865,"Charmed Clothier",1.5
1512866,"Grand Ball Guest",1.5
1512867,"Restless Bivouac",3
1512869,"Twisted Sewer-Witch",3
1512870,"Harried Spearguard",1.5
1512871,"Tangled Colony",3.5
1512873,"Voracious Vermin",3
1512874,"A Tale for the Ages",3
1512895,"Solitary Sanctuary",2.5
1512990,"Stormkeld Vanguard // Bear Down",3.5
1512991,"Rotisserie Elemental",1
1512992,"Raging Battle Mouse",3
1512994,"Restless Spire",2.5
1512996,"Freeze in Place",1
1512999,"Eerie Interference",0
1513003,"Hylda's Crown of Winter",3.5
1513004,"Armory Mice",1
1513007,"Tempest Hart // Scan the Clouds",2.5
1513010,"Prophetic Prism",1.5
1513011,"Graceful Takedown",3
1513013,"Archon of the Wild Rose",4.5
1513015,"Sentinel of Lost Lore",3.5
1513020,"Faerie Fencing",3.5
1513021,"Charming Scoundrel",3.5
1513027,"Splashy Spellcaster",3
1513029,"Devouring Sugarmaw // Have for Dinner",3.5
1513038,"Water Wings",0
1513040,"Mocking Sprite",2
1513093,"Pollen-Shield Hare // Hare Raising",3.5
1513095,"Up the Beanstalk",3
1513096,"Yenna, Redtooth Regent",3.5
1513106,"Boundary Lands Ranger",2
1513114,"Goddric, Cloaked Reveler",4
1513299,"Cheeky House-Mouse // Squeak By",1.5
1513300,"Picklock Prankster // Free the Fae",2
1513329,"Spell Stutter",2
1513330,"Welcome to Sweettooth",3
1513331,"Hearth Elemental // Stoke Genius",3
1513332,"Eriette's Tempting Apple",1.5
1513335,"Spellscorn Coven // Take It Back",3
1513336,"Succumb to the Cold",1.5
1513338,"Kellan's Lightblades",2
1513339,"Sleep-Cursed Faerie",3
1513341,"Snaremaster Sprite",2
1513342,"Barrow Naughty",2
1513343,"Frantic Firebolt",3.5
1513344,"Gruff Triplets",4
1513347,"Redtooth Vanguard",2.5
1513348,"Gingerbrute",1
1513349,"Aquatic Alchemist // Bubble Up",1
1513350,"Elusive Otter // Grove's Bounty",3.5
1513352,"Heartflame Duelist // Heartflame Slash",4.5
1513354,"Collector's Vault",1
1513355,"Unruly Catapult",1
1513357,"Disdainful Stroke",1.5
1513358,"Mosswood Dreadknight // Dread Whispers",4.5
1513360,"Scream Puff",2
1513361,"Candy Grapple",4
1513362,"Candy Trail",1
1513363,"Plains",0
1513364,"Island",0
1513365,"Swamp",0
1513366,"Mountain",0
1513367,"Forest",0
1513373,"Restless Vinestalk",3
1513375,"Questing Druid // Seek the Beast",3.5
1513377,"The Irencrag",1.5
1513417,"Witchstalker Frenzy",3.5
1513478,"Dream Spoilers",2.5
1513490,"The Witch's Vanity",3
1513493,"Rankle's Prank",3
1513502,"Feral Encounter",3
1513505,"Regal Bunnicorn",4
1513507,"Woodland Acolyte // Mend the Wilds",3
1513574,"Song of Totentanz",3.5
1513582,"Food Fight",1
1513597,"Quick Study",1.5
1513609,"Gingerbread Hunter // Puny Snack",3.5
1513617,"Horned Loch-Whale // Lagoon Breach",4
1513819,"Imodane's Recruiter // Train Troops",3
1513820,"Virtue of Strength // Garenbrig Growth",1.5
1513821,"Twining Twins // Swift Spiral",4
1513853,"Stormkeld Prowler",1
1513854,"Misleading Motes",1
1513855,"Tenacious Tomeseeker",2
1513856,"Tuinvale Guide",1
1513875,"Skewer Slinger",1
1513877,"Gumdrop Poisoner // Tempt with Treats",3.5
1513878,"Verdant Outrider",0.5
1513879,"Slumbering Keepguard",1.5
1513880,"Crystal Grotto",1
1513881,"Territorial Witchstalker",0.5
1513883,"Commune with Nature",0.5
1513884,"Edgewall Pack",2.5
1513885,"Virtue of Courage // Embereth Blaze",3.5
1513886,"Stockpiling Celebrant",1.5
1513887,"Wicked Visitor",1
1513888,"Obyra's Attendants // Desperate Parry",2
1513891,"Ferocious Werefox // Guard Change",2.5
1513892,"Frostbridge Guard",1.5
1513894,"Grabby Giant // That's Mine",2
1513895,"Redtooth Genealogist",1
1513897,"Scarecrow Guide",0
1513901,"Feed the Cauldron",2.5
1513902,"Protective Parents",1.5
1513905,"Cooped Up",2.5
1513908,"Curse of the Werefox",3
1513911,"Toadstool Admirer",1
1513915,"Merfolk Coralsmith",1
1513917,"Spider Food",0
1513919,"Vantress Transmuter // Croaking Curse",2
1513923,"Redcap Thief",1.5
1513926,"Rimefur Reindeer",1.5
1513929,"Hamlet Glutton",2
1513933,"Moment of Valor",1.5
1513936,"Kindled Heroism",0.5
1513940,"Mintstrosity",1.5
1513943,"High Fae Negotiator",3
1513945,"Sugar Rush",0.5
1513947,"Hollow Scavenger // Bakery Raid",2.5
1513950,"Stingblade Assassin",1
1513953,"Bestial Bloodline",1
1513957,"Beluna's Gatekeeper // Entry Denied",1.5
1513964,"Fell Horseman // Deathly Ride",2
1513967,"Archon's Glory",1
1513969,"Plunge into Winter",0.5
1513971,"Savior of the Sleeping",1
1513974,"Diminisher Witch",1.5
1513975,"Archive Dragon",3
1513977,"Shatter the Oath",2.5
1513979,"Eriette's Whisper",0.5
1513980,"Witch's Mark",1
1513982,"Titanic Growth",1
1513984,"Leaping Ambush",0
1513987,"Minecart Daredevil // Ride the Rails",1.5
1513991,"Bespoke Battlegarb",0
1513994,"Bellowing Bruiser // Beat a Path",1.5
1513997,"Gnawing Crescendo",1
1514000,"Unassuming Sage",1.5
1514004,"Merry Bards",1.5
1514016,"Hopeful Vigil",3
