"id","name","rating"
1221449,"Jace, Mirror Mage",4.5
1221452,"Nahiri, Heir of the Ancients",4
1221765,"Shell Shield",1
1221774,"Valakut Awakening // Valakut Stoneforge",3
1221775,"Acquisitions Expert",3
1221776,"Bloodchief's Thirst",3.5
1221777,"Linvala, Shield of Sea Gate",3.5
1221778,"Lotus Cobra",3.5
1221779,"Omnath, Locus of Creation",3
1221780,"Nissa of Shadowed Boughs",3.5
1221782,"Spoils of Adventure",3
1221783,"Grotag Bug-Catcher",2.5
1221784,"Expedition Diviner",2.5
1221785,"Zulaport Duelist",1
1221786,"Drana, the Last Bloodchief",4.5
1221787,"Kabira Outrider",1.5
1221789,"Coveted Prize",1.5
1221790,"Tajuru Paragon",3.5
1221792,"Gnarlid Colony",3
1221793,"Might of Murasa",1.5
1221795,"Spitfire Lagac",1.5
1221800,"Tazri, Beacon of Unity",4
1221805,"Shepherd of Heroes",3
1221817,"Brightclimb Pathway // Grimclimb Pathway",1.5
1221822,"Riverglide Pathway // Lavaglide Pathway",1.5
1221830,"Clearwater Pathway // Murkwater Pathway",1.5
1221838,"Needleverge Pathway // Pillarverge Pathway",1.5
1221841,"Ruin Crab",3
1221843,"Branchloft Pathway // Boulderloft Pathway",1
1221844,"Murasa Rootgrazer",3
1221845,"Cragcrown Pathway // Timbercrown Pathway",1.5
1221846,"Cleric of Life's Bond",3.5
1221848,"Tajuru Blightblade",1.5
1221849,"Windrider Wizard",3
1221850,"Legion Angel",3.5
1221852,"Pelakka Predation // Pelakka Caverns",2
1221854,"Confounding Conundrum",0
1221857,"Taunting Arbormage",2.5
1221858,"Archpriest of Iona",3
1221860,"Skyclave Apparition",3.5
1221862,"Umara Wizard // Umara Skyfalls",3
1221864,"Cliffhaven Sell-Sword",1
1221865,"Farsight Adept",1.5
1221866,"Merfolk Windrobber",2
1221867,"Orah, Skyclave Hierophant",3.5
1221868,"Zareth San, the Trickster",4.5
1221879,"Emeria Captain",3
1221880,"Akoum Hellhound",1
1221882,"Tajuru Snarecaster",1
1221883,"Anticognition",1
1221884,"Ashaya, Soul of the Wild",4
1221885,"Ardent Electromancer",2
1221886,"Seafloor Stalker",2
1221887,"Kor Blademaster",2.5
1221888,"Kitesail Cleric",2
1221889,"Demon's Disciple",2
1221890,"Grotag Night-Runner",2
1221891,"Kaza, Roil Chaser",2
1221893,"Prowling Felidar",3
1221895,"Nighthawk Scavenger",4.5
1221897,"Swarm Shambler",3
1221899,"Sejiri Shelter // Sejiri Glacier",3
1221900,"Khalni Ambush // Khalni Territory",3.5
1221901,"Bala Ged Recovery // Bala Ged Sanctuary",3
1221902,"Akoum Warrior // Akoum Teeth",3
1221903,"Maul of the Skyclaves",4
1221905,"Dauntless Survivor",2
1221906,"Expedition Skulker",1.5
1221907,"Taborax, Hope's Demise",3.5
1221908,"Umara Mystic",3
1221909,"Deadly Alliance",3.5
1221910,"Ravager's Mace",1.5
1221911,"Thwart the Grave",3.5
1221912,"Mind Carver",1
1221913,"Cleansing Wildfire",0.5
1221914,"Cascade Seer",1.5
1221920,"Sure-Footed Infiltrator",3
1221921,"Coralhelm Chronicler",3.5
1221923,"Roiling Vortex",0.5
1221925,"Tangled Florahedron // Tangled Vale",3
1221926,"Soul Shatter",3.5
1221928,"Makindi Ox",1
1221929,"Practiced Tactics",1.5
1221930,"Resolute Strike",0.5
1221931,"Field Research",2
1221932,"Into the Roil",3.5
1221933,"Lullmage's Domination",3
1221934,"Risen Riptide",2
1221935,"Sea Gate Stormcaller",3.5
1221936,"Hagra Constrictor",1
1221937,"Oblivion's Hunger",1
1221938,"Subtle Strike",2
1221939,"Sneaking Guide",1
1221940,"Synchronized Spellcraft",2
1221941,"Teeterpeak Ambusher",1.5
1221942,"Nissa's Zendikon",1
1221943,"Rabid Bite",3
1221944,"Brushfire Elemental",2.5
1221945,"Sea Gate Colossus",1.5
1221946,"Goma Fada Vanguard",2.5
1221947,"Utility Knife",0.5
1221948,"Angel of Destiny",3.5
1221951,"Zagras, Thief of Heartbeats",4.5
1221952,"Emeria's Call // Emeria, Shattered Skyclave",4
1221953,"Feed the Swarm",3
1221954,"Highborn Vampire",0.5
1221955,"Angelheart Protector",1.5
1221956,"Fissure Wizard",2
1221957,"Spikefield Hazard // Spikefield Cave",3
1221958,"Relic Robber",3
1221959,"Crawling Barrens",3
1221961,"Skyclave Cleric // Skyclave Basilica",2.5
1221962,"Roiling Regrowth",2
1221963,"Vastwood Surge",3
1221964,"Zof Consumption // Zof Bloodbog",3
1221965,"Skyclave Geopede",2.5
1221969,"Archon of Emeria",2.5
1221970,"Song-Mad Treachery // Song-Mad Ruins",3
1221971,"Adventure Awaits",1
1221972,"Paired Tactician",2
1221973,"Rockslide Sorcerer",3
1221974,"Nimana Skitter-Sneak",1.5
1221975,"Malakir Blood-Priest",3
1221976,"Broken Wings",1
1221977,"Bubble Snare",3
1221978,"Blood Beckoning",1.5
1222009,"Fearless Fledgling",3.5
1222011,"Attended Healer",3
1222012,"Expedition Champion",1.5
1222013,"Merfolk Falconer",3
1222014,"Thieving Skydiver",3
1222015,"Roil Eruption",3.5
1222016,"Inscription of Ruin",3.5
1222018,"Murasa Brute",1.5
1222019,"Valakut Exploration",3
1222023,"Yasharn, Implacable Earth",3.5
1222024,"Makindi Stampede // Makindi Mesas",2.5
1222025,"Vine Gecko",3.5
1222026,"Cragplate Baloth",3
1222027,"Joraga Visionary",2.5
1222028,"Cleric of Chill Depths",1.5
1222029,"Sea Gate Banneret",1
1222030,"Shatterskull Smashing // Shatterskull, the Hammer Pass",4
1222032,"Spare Supplies",1
1222033,"Cunning Geysermage",3
